JURISDICTION_ID,STATION_ID,stationLink,name,status,modeOriginal,mode,lat,long,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms
G53035415,S863121515,259 Street-RapidRide I-Arterial Rapid Transit-planned,259 Street,planned,Arterial Rapid Transit,Rapid Transit,47.37003,-122.22995,145,158,335,176,158,209,389
G53035415,S1493363461,S 252-RapidRide A-Bus Rapid Transit-existing,S 252,existing,Bus Rapid Transit,Rapid Transit,47.37589,-122.29995,572,583,1821,595,583,612,1856
G53035415,S863120395,248 Street-RapidRide I-Arterial Rapid Transit-planned,248 Street,planned,Arterial Rapid Transit,Rapid Transit,47.37972,-122.20233,1747,1997,4012,2193,1997,2288,4346
G53035415,S1505184558,S 248-RapidRide A-Bus Rapid Transit-existing,S 248,existing,Bus Rapid Transit,Rapid Transit,47.37937,-122.29833,312,351,882,452,351,524,1069
G53035415,S2082969009,Willis Street-RapidRide I-Arterial Rapid Transit-planned,Willis Street,planned,Arterial Rapid Transit,Rapid Transit,47.37778,-122.23062,575,1071,1704,1591,1071,1277,2320
G53035415,S3707478650,Titus Street-RapidRide I-Arterial Rapid Transit-planned,Titus Street,planned,Arterial Rapid Transit,Rapid Transit,47.3834,-122.22568,515,518,1562,518,518,522,1566
G53035415,S133329111,Kent-Sounder-Commuter Rail-existing,Kent,existing,Commuter Rail,Commuter Rail,47.38451,-122.233,799,2171,2398,3020,2171,2451,3497
G53035415,S1495697190,S 240-RapidRide A-Bus Rapid Transit-existing,S 240,existing,Bus Rapid Transit,Rapid Transit,47.38656,-122.29649,467,1875,2288,2899,1961,2101,3543
G53035415,S2715513237,Ward Street-RapidRide I-Arterial Rapid Transit-planned,Ward Street,planned,Arterial Rapid Transit,Rapid Transit,47.38251,-122.23108,24,195,195,390,195,195,390
G53035415,S2217791522,Kent/Des Moines-Red Line (Federal Way Link)-Light Rail-uc,Kent/Des Moines,uc,Light Rail,Light Rail,47.38991,-122.29409,243,742,953,1242,742,742,1453
G53035415,S863111683,240 Street-RapidRide I-Arterial Rapid Transit-planned,240 Street,planned,Arterial Rapid Transit,Rapid Transit,47.38692,-122.20224,380,569,995,797,569,825,1300
G53035415,S863108641,235 Street-RapidRide I-Arterial Rapid Transit-planned,235 Street,planned,Arterial Rapid Transit,Rapid Transit,47.39092,-122.20222,541,563,1552,597,563,637,1633
G53017635,S2062481089,Kent/Des Moines Road-RapidRide A-Bus Rapid Transit-existing,Kent/Des Moines Road,existing,Bus Rapid Transit,Rapid Transit,47.3938,-122.29485,289,1864,2309,2729,1864,2054,3206
G53017635,S1500229732,S 224-RapidRide A-Bus Rapid Transit-existing,S 224,existing,Bus Rapid Transit,Rapid Transit,47.40095,-122.29753,453,2740,3357,5001,2740,3557,5668
G53035415,S863120589,228 Street-RapidRide I-Arterial Rapid Transit-planned,228 Street,planned,Arterial Rapid Transit,Rapid Transit,47.39738,-122.20226,556,571,1867,571,571,571,1867
G53035415,S863107521,224 Street-RapidRide I-Arterial Rapid Transit-planned,224 Street,planned,Arterial Rapid Transit,Rapid Transit,47.40143,-122.19934,697,704,1801,704,704,704,1801
G53035415,S863109664,216 Street-RapidRide I-Arterial Rapid Transit-planned,216 Street,planned,Arterial Rapid Transit,Rapid Transit,47.40823,-122.19709,829,847,2748,847,847,847,2748
G53062288,S1497963397,S 216-RapidRide A-Bus Rapid Transit-existing,S 216,existing,Bus Rapid Transit,Rapid Transit,47.4083,-122.29819,487,1877,2447,3317,2439,2755,4643
G53062288,S1505040810,S 208-RapidRide A-Bus Rapid Transit-existing,S 208,existing,Bus Rapid Transit,Rapid Transit,47.41546,-122.29732,245,267,629,296,366,560,1021
G53035415,S863120527,208 Street-RapidRide I-Arterial Rapid Transit-planned,208 Street,planned,Arterial Rapid Transit,Rapid Transit,47.41583,-122.19706,461,504,1459,576,504,617,1606
G53062288,S1495553442,S 200-RapidRide A-Bus Rapid Transit-existing,S 200,existing,Bus Rapid Transit,Rapid Transit,47.42272,-122.29633,211,252,735,332,252,374,911
G53057745,S863111815,200 Street-RapidRide I-Arterial Rapid Transit-planned,200 Street,planned,Arterial Rapid Transit,Rapid Transit,47.42314,-122.19706,557,596,1683,655,596,801,1888
G53062288,S1501805517,S 195-RapidRide A-Bus Rapid Transit-existing,S 195,existing,Bus Rapid Transit,Rapid Transit,47.42635,-122.29589,124,135,479,154,135,241,585
G53057745,S863114287,192 Street-RapidRide I-Arterial Rapid Transit-planned,192 Street,planned,Arterial Rapid Transit,Rapid Transit,47.43029,-122.19704,661,846,1763,1069,846,1194,2141
G53062288,S1504756513,S 188-RapidRide A-Bus Rapid Transit-existing,S 188,existing,Bus Rapid Transit,Rapid Transit,47.43455,-122.29552,327,472,1315,631,472,474,1476
G53057745,S863109898,186 Street-RapidRide I-Arterial Rapid Transit-planned,186 Street,planned,Arterial Rapid Transit,Rapid Transit,47.43651,-122.19704,423,433,1338,446,433,449,1354
G53057745,S3173838794,103 Avenue-RapidRide I-Arterial Rapid Transit-planned,103 Avenue,planned,Arterial Rapid Transit,Rapid Transit,47.44288,-122.20367,277,277,459,277,277,411,593
G53057745,S515663967,Valley Medical Center-RapidRide I-Arterial Rapid Transit-planned,Valley Medical Center,planned,Arterial Rapid Transit,Rapid Transit,47.44137,-122.21283,36,162,220,286,162,171,353
G53057745,S863114254,182 Street-RapidRide I-Arterial Rapid Transit-planned,182 Street,planned,Arterial Rapid Transit,Rapid Transit,47.43988,-122.19695,370,371,1274,371,371,371,1274
G53062288,S3096797341,S 180/182-RapidRide A-Bus Rapid Transit-existing,S 180/182,existing,Bus Rapid Transit,Rapid Transit,47.44058,-122.29596,345,345,360,345,345,345,360
G53057745,S3426832050,South 48 Court-RapidRide I-Arterial Rapid Transit-planned,South 48 Court,planned,Arterial Rapid Transit,Rapid Transit,47.4458,-122.21117,156,192,532,229,192,201,578
G53057745,S3173828929,108 Avenue-RapidRide I-Arterial Rapid Transit-planned,108 Avenue,planned,Arterial Rapid Transit,Rapid Transit,47.44528,-122.19762,355,482,916,525,482,967,1401
G53062288,S1497892672,S 176-RapidRide A-Bus Rapid Transit-existing,S 176,existing,Bus Rapid Transit,Rapid Transit,47.44524,-122.29622,154,194,469,194,194,296,571
G53062288,S1495664582,S 170-RapidRide A-Bus Rapid Transit-existing,S 170,existing,Bus Rapid Transit,Rapid Transit,47.45076,-122.29605,243,373,1045,485,373,462,1242
G53057745,S1520963521,South 32 Street-RapidRide I-Arterial Rapid Transit-planned,South 32 Street,planned,Arterial Rapid Transit,Rapid Transit,47.45069,-122.21136,351,351,1116,351,351,351,1116
G53072625,S387830826,Andover Park East-RapidRide F-Bus Rapid Transit-existing,Andover Park East,existing,Bus Rapid Transit,Rapid Transit,47.45577,-122.25,204,204,204,260,204,204,260
G53062288,S1495628647,S 160-RapidRide A-Bus Rapid Transit-existing,S 160,existing,Bus Rapid Transit,Rapid Transit,47.45967,-122.29175,299,464,1071,672,464,768,1472
G53057745,S1762234145,South 23 Street-RapidRide I-Arterial Rapid Transit-planned,South 23 Street,planned,Arterial Rapid Transit,Rapid Transit,47.45931,-122.21207,401,401,1400,401,401,401,1400
G53072625,S3028049141,Tukwila International Boulevard-Stride S1-Bus Rapid Transit-planned,Tukwila International Boulevard,planned,Bus Rapid Transit,Rapid Transit,47.46323,-122.28793,278,322,501,379,322,541,720
G53008850,S1888060521,2 Avenue S-RapidRide F-Bus Rapid Transit-existing,2 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46328,-122.33039,621,758,914,820,758,942,1113
G53062288,S1836126310,Des Moines Memorial Drive S-RapidRide F-Bus Rapid Transit-existing,Des Moines Memorial Drive S,existing,Bus Rapid Transit,Rapid Transit,47.46329,-122.32343,299,425,685,477,433,540,853
G53008850,S3220110840,4 Avenue SW-RapidRide F-Bus Rapid Transit-existing,4 Avenue SW,existing,Bus Rapid Transit,Rapid Transit,47.46325,-122.33908,801,1186,1393,1475,1186,1393,1720
G53057745,S495470467,Boeing Commercial Airplane Group-RapidRide F-Bus Rapid Transit-existing,Boeing Commercial Airplane Group,existing,Bus Rapid Transit,Rapid Transit,47.46219,-122.23286,0,0,0,0,0,0,0
G53072625,S2176455101,42 Avenue S-RapidRide F-Bus Rapid Transit-existing,42 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.4659,-122.28127,488,593,1300,649,583,822,1529
G53008850,S1888060522,1 Avenue S-RapidRide F-Bus Rapid Transit-existing,1 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46327,-122.33392,207,229,229,282,229,270,287
G53072625,S2176455100,52 Avenue S-RapidRide F-Bus Rapid Transit-existing,52 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46513,-122.26905,432,439,905,462,961,462,1450
G53008850,S720899638,SW 152-RapidRide F-Bus Rapid Transit-existing,SW 152,existing,Bus Rapid Transit,Rapid Transit,47.46678,-122.34504,1190,3807,5251,5713,3807,4040,7306
G53072625,S1205527351,The Boulevard at South Station-RapidRide F-Bus Rapid Transit-existing,The Boulevard at South Station,existing,Bus Rapid Transit,Rapid Transit,47.46622,-122.27705,290,290,1126,290,290,290,1126
G53057745,S919352062,South Puget Drive-RapidRide I-Arterial Rapid Transit-planned,South Puget Drive,planned,Arterial Rapid Transit,Rapid Transit,47.46658,-122.20783,109,123,355,146,123,150,382
G53072625,S1487826667,Baker Boulevard-RapidRide F-Bus Rapid Transit-existing,Baker Boulevard,existing,Bus Rapid Transit,Rapid Transit,47.45823,-122.25435,18,57,57,114,57,57,114
G53072625,S2176455192,65 Avenue S-RapidRide F-Bus Rapid Transit-existing,65 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46251,-122.25186,40,40,60,40,40,56,76
