JURISDICTION_ID,STATION_ID,stationLink,name,status,modeOriginal,mode,lat,long,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms
G53063000,S2094549545,Beacon Hill-Red Line (Central Link)-Light Rail-existing,Beacon Hill,existing,Light Rail,Light Rail,47.57929,-122.31164,2545,4326,5514,6137,4326,5249,7607
G53005210,S2863156329,Eastgate-South Kirkland-Issaquah Link-Light Rail-planned,Eastgate-South Kirkland,planned,Light Rail,Light Rail,47.57928,-122.14612,529,533,2070,535,533,550,2087
G53005210,S4033276049,Richards Road-South Kirkland-Issaquah Link-Light Rail-planned,Richards Road-South Kirkland,planned,Light Rail,Light Rail,47.58027,-122.16888,523,532,1236,539,532,653,1357
G53063000,S1299318075,Sodo-Red Line (Central Link)-Light Rail-existing,Sodo,existing,Light Rail,Light Rail,47.58119,-122.3274,0,0,0,0,0,0,0
G53005210,S2145863381,South Bellevue-Blue Line (East Link)-Light Rail-uc,South Bellevue,uc,Light Rail,Light Rail,47.58656,-122.19042,515,515,2021,515,515,531,2037
G53045005,S4066841591,Mercer Island-Blue Line (East Link)-Light Rail-uc,Mercer Island,uc,Light Rail,Light Rail,47.58818,-122.2332,1107,1927,2831,2583,1965,2036,3614
G53063000,S2221922088,Judkins Park-Blue Line (East Link)-Light Rail-uc,Judkins Park,uc,Light Rail,Light Rail,47.59029,-122.30444,2275,4484,4818,5329,4484,5438,6413
G53063000,S2730723065,SODO-West Seattle Link Extension-Light Rail-planned,SODO,planned,Light Rail,Light Rail,47.58187,-122.32753,1,1,1,1,1,1,1
G53063000,S1506955455,Stadium-Red Line (Central Link)-Light Rail-existing,Stadium,existing,Light Rail,Light Rail,47.59106,-122.32716,558,568,570,568,568,582,584
G53063000,S2290114498,12th/Jackson-Little Saigon-First Hill Line-Streetcar-existing,12th/Jackson-Little Saigon,existing,Streetcar,Streetcar,47.5992,-122.31587,116,435,435,821,435,449,827
G53063000,S3691385775,International District-Chinatown-Ballard Link Extension-Light Rail-planned,International District-Chinatown,planned,Light Rail,Light Rail,47.59849,-122.32766,140,140,140,140,140,140,140
G53063000,S1845052633,14th/Washington-Central District-First Hill Line-Streetcar-existing,14th/Washington-Central District,existing,Streetcar,Streetcar,47.60067,-122.31417,2352,3757,3931,4676,3757,4350,5211
G53063000,S3175648744,7th/Jackson-Chinatown-First Hill Line-Streetcar-existing,7th/Jackson-Chinatown,existing,Streetcar,Streetcar,47.5992,-122.32346,1192,1192,1192,1192,1192,1192,1192
G53063000,S2073659379,5th/Jackson-Japantown-First Hill Line-Streetcar-existing,5th/Jackson-Japantown,existing,Streetcar,Streetcar,47.5992,-122.327,940,940,940,940,940,940,940
G53063000,S3230223454,Yesler/Broadway-Yesler Terrace-First Hill Line-Streetcar-existing,Yesler/Broadway-Yesler Terrace,existing,Streetcar,Streetcar,47.60169,-122.32008,823,1016,1016,1452,1016,1063,1453
G53063000,S208336594,International District-Chinatown-Red Line (Central Link)-Light Rail-existing,International District-Chinatown,existing,Light Rail,Light Rail,47.59843,-122.32801,585,585,585,585,585,585,585
G53063000,S2066597457,Terrace Street-RapidRide D-Bus Rapid Transit-existing,Terrace Street,existing,Bus Rapid Transit,Rapid Transit,47.60228,-122.3279,506,905,905,1624,905,905,1624
G53005210,S3496386732,East Main-Blue Line (East Link)-Light Rail-uc,East Main,uc,Light Rail,Light Rail,47.60849,-122.19119,792,879,1689,1085,879,983,1998
G53063000,S3053210151,Pioneer Square-Red Line (Central Link)-Light Rail-existing,Pioneer Square,existing,Light Rail,Light Rail,47.60276,-122.33144,76,343,343,621,343,343,621
G53063000,S3365633034,Prefontaine Place-RapidRide D-Bus Rapid Transit-existing,Prefontaine Place,existing,Bus Rapid Transit,Rapid Transit,47.60189,-122.33066,10,18,18,36,18,18,36
G53063000,S2896125354,1st & Cherry-Columbia/Pioneer Square-Center City Connector-Streetcar-proposed,1st & Cherry-Columbia/Pioneer Square,proposed,Streetcar,Streetcar,47.60283,-122.3345,453,487,487,522,487,487,522
G53063000,S659696837,Broadway/Terrace-First Hill-First Hill Line-Streetcar-existing,Broadway/Terrace-First Hill,existing,Streetcar,Streetcar,47.60517,-122.32079,2005,3154,3154,4962,3154,3230,4968
G53063000,S1842716371,Columbia-RapidRide C-Bus Rapid Transit-existing,Columbia,existing,Bus Rapid Transit,Rapid Transit,47.60419,-122.33275,132,2312,2312,4624,2312,2312,4624
G53063000,S4292623553,Terry Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,Terry Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.60907,-122.32582,2713,8318,8318,14820,8318,8341,14843
G53063000,S418039821,8th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,8th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.60796,-122.32845,2217,4279,4279,7191,4279,4288,7200
G53063000,S418052812,3rd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,3rd Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.60543,-122.33449,1,1720,1720,3440,1720,1720,3440
G53063000,S2093085291,1st & Madison/Spring-Center City Connector-Streetcar-proposed,1st & Madison/Spring,proposed,Streetcar,Streetcar,47.60504,-122.33655,855,1038,1038,1282,1038,1038,1282
G53063000,S3367372691,Midtown-Ballard Link Extension-Light Rail-planned,Midtown,planned,Light Rail,Light Rail,47.60615,-122.33145,128,547,547,1094,547,547,1094
G53063000,S418039808,5th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,5th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.60682,-122.33119,107,2217,2217,4434,2217,2217,4434
G53063000,S3566781324,1st & Pike/Pine-Center City Connector-Streetcar-proposed,1st & Pike/Pine,proposed,Streetcar,Streetcar,47.60931,-122.34046,3139,3599,3599,4401,3599,3599,4401
G53063000,S138986857,University Street-Red Line (Central Link)-Light Rail-existing,University Street,existing,Light Rail,Light Rail,47.60783,-122.33602,254,3375,3375,6750,3375,3375,6750
G53005210,S296332200,Bellevue Transit Center-RapidRide B-Bus Rapid Transit-existing,Bellevue Transit Center,existing,Bus Rapid Transit,Rapid Transit,47.61551,-122.19462,1711,3736,3893,4461,3736,3737,4619
G53063000,S1918538693,Broadway/Marion-First Hill-First Hill Line-Streetcar-existing,Broadway/Marion-First Hill,existing,Streetcar,Streetcar,47.60999,-122.32081,128,487,487,878,487,527,878
G53063000,S910411990,12th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,12th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61284,-122.31677,2425,3102,3102,4320,3102,3405,4412
G53063000,S910411891,17th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,17th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61561,-122.31015,4621,5420,5562,6606,5420,5980,6951
G53063000,S96590518,Pike-RapidRide C-Bus Rapid Transit-existing,Pike,existing,Bus Rapid Transit,Rapid Transit,47.60978,-122.3378,640,811,811,984,822,811,995
G53005210,S3565563485,148-RapidRide B-Bus Rapid Transit-existing,148,existing,Bus Rapid Transit,Rapid Transit,47.61704,-122.14308,498,500,1555,501,500,669,1724
G53005210,S3565555926,143-RapidRide B-Bus Rapid Transit-existing,143,existing,Bus Rapid Transit,Rapid Transit,47.61712,-122.14958,334,334,999,334,334,385,1050
G53063000,S910811459,22nd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,22nd Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61849,-122.30357,2856,3995,4194,5219,3995,4510,5659
G53005210,S3163764650,131/134-RapidRide B-Bus Rapid Transit-existing,131/134,existing,Bus Rapid Transit,Rapid Transit,47.61722,-122.16364,340,340,1219,340,340,364,1243
G53005210,S3565554773,140-RapidRide B-Bus Rapid Transit-existing,140,existing,Bus Rapid Transit,Rapid Transit,47.61716,-122.15358,226,244,682,246,244,291,729
G53063000,S3325412519,3rd & Stewart-Center City Connector-Streetcar-proposed,3rd & Stewart,proposed,Streetcar,Streetcar,47.6116,-122.33943,299,960,960,1892,960,960,1892
G53063000,S3926191399,Westlake-Ballard Link Extension-Light Rail-planned,Westlake,planned,Light Rail,Light Rail,47.61119,-122.33608,2778,3723,3723,4993,4024,3723,5294
G53063000,S1699909316,Virginia-RapidRide C-Bus Rapid Transit-existing,Virginia,existing,Bus Rapid Transit,Rapid Transit,47.61243,-122.34087,2343,2880,2880,3548,2880,2880,3548
G53063000,S1946543191,Boylston Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,Boylston Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61075,-122.32176,2639,4867,4867,8102,4867,4877,8102
G53005210,S238653642,NE 10-RapidRide B-Bus Rapid Transit-existing,NE 10,existing,Bus Rapid Transit,Rapid Transit,47.61871,-122.13244,411,413,1105,416,413,421,1113
G53063000,S156310944,Bell Street-RapidRide D-Bus Rapid Transit-existing,Bell Street,existing,Bus Rapid Transit,Rapid Transit,47.6147,-122.34479,2964,3049,3049,3279,3049,3049,3279
G53005210,S3565554707,120-RapidRide B-Bus Rapid Transit-existing,120,existing,Bus Rapid Transit,Rapid Transit,47.61729,-122.18031,43,70,70,90,70,92,112
G53005210,S3565559063,124-RapidRide B-Bus Rapid Transit-existing,124,existing,Bus Rapid Transit,Rapid Transit,47.61733,-122.17496,351,355,888,359,355,370,903
G53005210,S1872643088,Bellevue Downtown-Blue Line (East Link)-Light Rail-uc,Bellevue Downtown,uc,Light Rail,Light Rail,47.61522,-122.19202,519,1190,1224,2076,1190,1190,2110
G53063000,S155797971,Vine Street-RapidRide D-Bus Rapid Transit-existing,Vine Street,existing,Bus Rapid Transit,Rapid Transit,47.61659,-122.34801,8444,8927,8927,9405,8927,8927,9405
G53063000,S564231695,Broadway/Pike/Pine-Capitol Hill-First Hill Line-Streetcar-existing,Broadway/Pike/Pine-Capitol Hill,existing,Streetcar,Streetcar,47.61432,-122.32081,3672,3992,3992,4819,3992,4132,4844
G53063000,S910411795,24th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,24th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.62012,-122.30114,1406,1557,1809,2006,1557,1750,2278
G53063000,S1041866010,Westlake-Red Line (Central Link)-Light Rail-existing,Westlake,existing,Light Rail,Light Rail,47.61166,-122.33652,224,656,656,1312,656,656,1312
G53063000,S2322798135,9th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,9th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61672,-122.33531,6019,8452,8452,11654,8452,8453,11655
G53063000,S2322798136,6th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,6th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.61463,-122.33802,656,731,731,808,731,731,808
G53063000,S2878452211,Westlake/7th-South Lake Union Line-Streetcar-existing,Westlake/7th,existing,Streetcar,Streetcar,47.61507,-122.33781,658,1485,1485,2615,1485,1485,2615
G53063000,S2046264017,Denny Way-RapidRide D-Bus Rapid Transit-existing,Denny Way,existing,Bus Rapid Transit,Rapid Transit,47.61859,-122.35537,2656,3268,3268,4514,3268,3268,4514
G53063000,S2957132520,Martin Luther King Jr. Way-Madison RapidRide G-Bus Rapid Transit-proposed,Martin Luther King Jr. Way,proposed,Bus Rapid Transit,Rapid Transit,47.62333,-122.2964,1769,2089,2857,2579,2089,2205,3371
G53063000,S853985001,Denny-Ballard Link Extension-Light Rail-planned,Denny,planned,Light Rail,Light Rail,47.61829,-122.33954,999,999,999,999,999,999,999
G53063000,S247469277,Broadway/Denny-Capitol Hill-First Hill Line-Streetcar-existing,Broadway/Denny-Capitol Hill,existing,Streetcar,Streetcar,47.61805,-122.32094,6991,7652,7652,8991,7652,7721,9013
G53063000,S2685277008,Denny Way-RapidRide E-Bus Rapid Transit-existing,Denny Way,existing,Bus Rapid Transit,Rapid Transit,47.61856,-122.34364,3184,3712,3712,4662,3712,3712,4662
G53063000,S1677479846,Capitol Hill-Red Line (University Link)-Light Rail-existing,Capitol Hill,existing,Light Rail,Light Rail,47.61908,-122.32019,8332,10228,10238,12883,10228,11036,13276
G53063000,S1192341864,Westlake/Denny-9th-South Lake Union Line-Streetcar-existing,Westlake/Denny-9th,existing,Streetcar,Streetcar,47.61802,-122.33838,410,508,508,620,508,508,620
G53063000,S3825232333,Harrison Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,Harrison Street,proposed,Bus Rapid Transit,Rapid Transit,47.62202,-122.33433,3677,12883,12883,24498,12883,12883,24498
G53063000,S3210820633,Denny-RapidRide C-Bus Rapid Transit-existing,Denny,existing,Bus Rapid Transit,Rapid Transit,47.61857,-122.33854,417,949,949,1898,949,949,1898
G53063000,S3438230004,South Lake Union-Ballard Link Extension-Light Rail-planned,South Lake Union,planned,Light Rail,Light Rail,47.62192,-122.3423,1496,3373,3373,5552,3373,3378,5557
G53063000,S1683692964,Seattle Center-Ballard Link Extension-Light Rail-planned,Seattle Center,planned,Light Rail,Light Rail,47.62317,-122.35858,993,1128,1128,1848,1128,1128,1848
G53005210,S1042310128,Bel-Red/130th-Blue Line (East Link)-Light Rail-uc,Bel-Red/130th,uc,Light Rail,Light Rail,47.62447,-122.16578,15,75,90,90,75,75,105
G53063000,S4048736436,Westlake/Thomas-South Lake Union Line-Streetcar-existing,Westlake/Thomas,existing,Streetcar,Streetcar,47.62146,-122.33846,937,1491,1491,2578,1491,1491,2578
G53063000,S3634300042,Terry/Thomas-South Lake Union Line-Streetcar-existing,Terry/Thomas,existing,Streetcar,Streetcar,47.62139,-122.33721,131,259,259,518,259,259,518
G53005210,S242211087,NE 15-RapidRide B-Bus Rapid Transit-existing,NE 15,existing,Bus Rapid Transit,Rapid Transit,47.62332,-122.13242,158,169,470,176,169,221,522
G53063000,S3255061630,Republican Street-RapidRide D-Bus Rapid Transit-existing,Republican Street,existing,Bus Rapid Transit,Rapid Transit,47.62327,-122.35541,1612,2222,2240,3497,2222,2261,3546
G53063000,S3637736163,Yale Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,Yale Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.62874,-122.3309,3479,4815,4826,6108,4815,4922,6181
G53063000,S3988523510,Westlake/Mercer-South Lake Union Line-Streetcar-existing,Westlake/Mercer,existing,Streetcar,Streetcar,47.62428,-122.33845,42,129,129,258,129,129,258
G53063000,S1973296122,3rd Avenue West-RapidRide D-Bus Rapid Transit-existing,3rd Avenue West,existing,Bus Rapid Transit,Rapid Transit,47.62459,-122.36061,4102,4717,4900,6568,4739,4833,6811
G53063000,S3855275016,Terry/Mercer-South Lake Union Line-Streetcar-existing,Terry/Mercer,existing,Streetcar,Streetcar,47.62432,-122.33719,32,129,129,258,129,129,258
G53063000,S1052475396,Fairview-Campus-South Lake Union Line-Streetcar-existing,Fairview-Campus,existing,Streetcar,Streetcar,47.62751,-122.33251,479,1936,1936,2281,1936,1936,2281
G53063000,S4107866140,Fairview Avenue-RapidRide C-Bus Rapid Transit-existing,Fairview Avenue,existing,Bus Rapid Transit,Rapid Transit,47.62668,-122.33351,74,1106,1106,2212,1106,1106,2212
G53063000,S1328881380,Queen Anne Avenue-RapidRide D-Bus Rapid Transit-existing,Queen Anne Avenue,existing,Bus Rapid Transit,Rapid Transit,47.62458,-122.3567,2408,3395,3544,4620,3395,3485,4802
G53063000,S678094153,Garfield Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,Garfield Street,proposed,Bus Rapid Transit,Rapid Transit,47.63387,-122.32558,1354,1835,2110,2452,1835,2062,2835
G53063000,S2457998447,Mercer-RapidRide C-Bus Rapid Transit-existing,Mercer,existing,Bus Rapid Transit,Rapid Transit,47.62462,-122.33851,1209,2175,2175,3901,2175,2175,3901
G53063000,S1200924346,Galer-RapidRide E-Bus Rapid Transit-existing,Galer,existing,Bus Rapid Transit,Rapid Transit,47.63233,-122.34346,4715,9711,9829,14860,9817,10168,15235
G53005210,S1923670588,Bel-Red/24-RapidRide B-Bus Rapid Transit-existing,Bel-Red/24,existing,Bus Rapid Transit,Rapid Transit,47.63158,-122.13309,219,477,831,736,477,493,1097
G53063000,S448950447,West Prospect-RapidRide D-Bus Rapid Transit-existing,West Prospect,existing,Bus Rapid Transit,Rapid Transit,47.62866,-122.37106,752,774,1066,849,774,803,1141
G53005210,S3132888947,Spring District/120th-Blue Line (East Link)-Light Rail-uc,Spring District/120th,uc,Light Rail,Light Rail,47.62378,-122.17859,4,115,115,115,115,115,115
G53063000,S1609418542,West Galer-RapidRide D-Bus Rapid Transit-existing,West Galer,existing,Bus Rapid Transit,Rapid Transit,47.63229,-122.3757,86,88,103,88,88,89,104
G53063000,S166116690,Lynn-RapidRide E-Bus Rapid Transit-existing,Lynn,existing,Bus Rapid Transit,Rapid Transit,47.63914,-122.34558,3194,3664,4010,4474,3814,4010,5047
G53057535,S237539657,NE 31-RapidRide B-Bus Rapid Transit-existing,NE 31,existing,Bus Rapid Transit,Rapid Transit,47.63812,-122.13236,92,92,368,92,92,92,368
G53057535,S3415064724,Overlake Park and Ride-RapidRide B-Bus Rapid Transit-existing,Overlake Park and Ride,existing,Bus Rapid Transit,Rapid Transit,47.63358,-122.13769,38,74,74,148,74,74,148
G53063000,S3396049082,Newton/Armory-RapidRide D-Bus Rapid Transit-existing,Newton/Armory,existing,Bus Rapid Transit,Rapid Transit,47.63663,-122.37621,731,942,949,1235,942,1145,1380
G53063000,S3328369285,Smith Cove-Ballard Link Extension-Light Rail-planned,Smith Cove,planned,Light Rail,Light Rail,47.63318,-122.37802,69,75,75,75,75,78,78
G53057535,S449264181,Overlake Village-Blue Line (East Link)-Light Rail-uc,Overlake Village,uc,Light Rail,Light Rail,47.63681,-122.13818,1,1,4,1,1,1,4
G53063000,S3096250730,Lynn Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,Lynn Street,proposed,Bus Rapid Transit,Rapid Transit,47.63973,-122.3259,3479,4213,4310,5563,4213,4631,5717
G53057535,S238691567,NE 40-RapidRide B-Bus Rapid Transit-existing,NE 40,existing,Bus Rapid Transit,Rapid Transit,47.64597,-122.14293,162,162,414,162,162,206,458
G53063000,S1405184343,West Wheeler-RapidRide D-Bus Rapid Transit-existing,West Wheeler,existing,Bus Rapid Transit,Rapid Transit,47.64066,-122.37626,1309,1472,1589,1842,1472,1638,2009
G53005210,S247568052,South Kirkland-South Kirkland-Issaquah Link-Light Rail-planned,South Kirkland-South Kirkland,planned,Light Rail,Light Rail,47.64412,-122.19434,294,617,1094,734,617,632,1226
G53063000,S2468443006,University of Washington-Red Line (University Link)-Light Rail-existing,University of Washington,existing,Light Rail,Light Rail,47.64982,-122.3037,203,203,358,203,203,205,360
G53063000,S3165785989,West Armour-RapidRide D-Bus Rapid Transit-existing,West Armour,existing,Bus Rapid Transit,Rapid Transit,47.64475,-122.37631,1487,1592,1777,1796,1592,1724,2053
G53063000,S257766384,Hamlin Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,Hamlin Street,proposed,Bus Rapid Transit,Rapid Transit,47.64562,-122.32582,1931,2442,2531,3420,2450,2608,3526
G53063000,S3605661608,Harvard Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,Harvard Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.65047,-122.32215,1259,1435,1698,1844,1624,1559,2318
G53063000,S2782746063,Interbay-Ballard Link Extension-Light Rail-planned,Interbay,planned,Light Rail,Light Rail,47.65186,-122.37873,1378,1481,1668,1534,1481,1683,1900
G53057535,S886263457,Overlake Transit Center-RapidRide B-Bus Rapid Transit-existing,Overlake Transit Center,existing,Bus Rapid Transit,Rapid Transit,47.64355,-122.13234,26,26,104,26,26,26,104
G53063000,S254359220,West Dravus-RapidRide D-Bus Rapid Transit-existing,West Dravus,existing,Bus Rapid Transit,Rapid Transit,47.64846,-122.37634,1420,1598,1938,2170,1598,1686,2520
G53057535,S180310962,Redmond Technology Center-Blue Line (East Link)-Light Rail-uc,Redmond Technology Center,uc,Light Rail,Light Rail,47.64459,-122.13357,10,10,40,10,10,10,40
G53057535,S245524073,NE 46-RapidRide B-Bus Rapid Transit-existing,NE 46,existing,Bus Rapid Transit,Rapid Transit,47.65232,-122.1433,20,20,80,20,20,20,80
G53063000,S1266954302,West Emerson-RapidRide D-Bus Rapid Transit-existing,West Emerson,existing,Bus Rapid Transit,Rapid Transit,47.65403,-122.37613,876,1025,1118,1282,1039,1234,1504
G53063000,S3096169437,41st Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,41st Street,proposed,Bus Rapid Transit,Rapid Transit,47.65689,-122.31718,2021,4435,4456,8249,4435,4508,8286
G53057535,S3565557046,152-RapidRide B-Bus Rapid Transit-existing,152,existing,Bus Rapid Transit,Rapid Transit,47.64599,-122.1375,0,0,0,0,0,0,0
G53057535,S237611151,NE 51-RapidRide B-Bus Rapid Transit-existing,NE 51,existing,Bus Rapid Transit,Rapid Transit,47.6551,-122.14332,206,207,769,207,207,207,769
G53063000,S168620587,N 46-RapidRide E-Bus Rapid Transit-existing,N 46,existing,Bus Rapid Transit,Rapid Transit,47.66217,-122.34733,5382,6939,7175,8206,6939,7912,9076
G53063000,S3096713806,43rd Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,43rd Street,proposed,Bus Rapid Transit,Rapid Transit,47.66023,-122.31661,3047,6958,7022,11890,6958,7108,12062
G53063000,S1552897316,U District-Red Line (Northgate Link)-Light Rail-existing,U District,existing,Light Rail,Light Rail,47.66111,-122.31409,4862,7182,7214,9719,7182,7703,10156
G53057535,S2666238639,NE Old Redmond Road-RapidRide B-Bus Rapid Transit-existing,NE Old Redmond Road,existing,Bus Rapid Transit,Rapid Transit,47.66786,-122.14313,1042,1042,3847,1042,1042,1057,3862
G53063000,S2292075132,NW Leary-RapidRide D-Bus Rapid Transit-existing,NW Leary,existing,Bus Rapid Transit,Rapid Transit,47.66365,-122.37619,361,473,474,655,480,517,697
G53057535,S3915389825,S.E. Redmond-Blue Line (Downtown Redmond Link)-Light Rail-uc,S.E. Redmond,uc,Light Rail,Light Rail,47.6673,-122.10997,28,32,58,32,32,40,66
G53063000,S3207664229,Ballard-Ballard Link Extension-Light Rail-planned,Ballard,planned,Light Rail,Light Rail,47.66867,-122.37628,3122,4211,4211,6074,4211,4450,6146
G53063000,S1555638811,NW Market-RapidRide D-Bus Rapid Transit-existing,NW Market,existing,Bus Rapid Transit,Rapid Transit,47.66865,-122.37619,690,1595,1615,2137,1595,1991,2445
G53063000,S168724170,N 65-RapidRide E-Bus Rapid Transit-existing,N 65,existing,Bus Rapid Transit,Rapid Transit,47.67602,-122.34672,1804,2042,2496,2061,2042,2179,2648
G53063000,S584786520,Roosevelt-Red Line (Northgate Link)-Light Rail-existing,Roosevelt,existing,Light Rail,Light Rail,47.67667,-122.31597,6654,8277,8725,9695,8277,9151,10591
G53057535,S1417612647,Downtown Redmond-Blue Line (Downtown Redmond Link)-Light Rail-uc,Downtown Redmond,uc,Light Rail,Light Rail,47.6716,-122.11847,1057,1086,1086,1120,1086,1104,1123
G53063000,S2528797049,NW 60-RapidRide D-Bus Rapid Transit-existing,NW 60,existing,Bus Rapid Transit,Rapid Transit,47.67239,-122.3762,2268,2641,2828,3200,2641,3053,3539
G53057535,S1646529343,NE Redmond Way-RapidRide B-Bus Rapid Transit-existing,NE Redmond Way,existing,Bus Rapid Transit,Rapid Transit,47.6752,-122.14322,347,347,1128,347,347,361,1142
G53057535,S242465332,NW 85-RapidRide B-Bus Rapid Transit-existing,NW 85,existing,Bus Rapid Transit,Rapid Transit,47.67854,-122.12753,1202,1202,1202,1218,1202,1207,1218
G53035940,S1900773476,Northeast 85-Stride S2-Bus Rapid Transit-planned,Northeast 85,planned,Bus Rapid Transit,Rapid Transit,47.67919,-122.18453,719,1313,1458,1448,1313,2334,2495
G53063000,S2523226492,NW 65-RapidRide D-Bus Rapid Transit-existing,NW 65,existing,Bus Rapid Transit,Rapid Transit,47.67602,-122.37654,1500,1742,1959,2104,1742,1960,2437
G53057535,S891168087,Redmond Transit Center-RapidRide B-Bus Rapid Transit-existing,Redmond Transit Center,existing,Bus Rapid Transit,Rapid Transit,47.67531,-122.11917,1320,1504,2144,1770,1504,1731,2525
G53057535,S244840932,NE 87-RapidRide B-Bus Rapid Transit-existing,NE 87,existing,Bus Rapid Transit,Rapid Transit,47.68052,-122.14524,661,661,1139,661,661,661,1139
G53063000,S2528902616,NW 70-RapidRide D-Bus Rapid Transit-existing,NW 70,existing,Bus Rapid Transit,Rapid Transit,47.67952,-122.37675,1286,1403,1898,1625,1403,1492,2136
G53063000,S168623784,N 76-RapidRide E-Bus Rapid Transit-existing,N 76,existing,Bus Rapid Transit,Rapid Transit,47.68403,-122.34445,1220,1453,1601,1728,1453,1521,1897
G53063000,S2523260189,NW 75-RapidRide D-Bus Rapid Transit-existing,NW 75,existing,Bus Rapid Transit,Rapid Transit,47.68319,-122.37675,1455,1580,1966,1773,1580,1651,2164
G53057535,S238941584,NW 90-RapidRide B-Bus Rapid Transit-existing,NW 90,existing,Bus Rapid Transit,Rapid Transit,47.68215,-122.12754,276,291,806,307,291,371,890
G53063000,S2529299639,NW 80-RapidRide D-Bus Rapid Transit-existing,NW 80,existing,Bus Rapid Transit,Rapid Transit,47.68685,-122.37678,1075,1432,2114,1922,1432,1558,2608
G53063000,S168840673,N 80-RapidRide E-Bus Rapid Transit-existing,N 80,existing,Bus Rapid Transit,Rapid Transit,47.68694,-122.34447,1064,1395,1605,1574,1395,1501,1837
G53057535,S3565558960,154-RapidRide B-Bus Rapid Transit-existing,154,existing,Bus Rapid Transit,Rapid Transit,47.68223,-122.13459,0,0,0,0,0,0,0
G53063000,S168730692,N 85-RapidRide E-Bus Rapid Transit-existing,N 85,existing,Bus Rapid Transit,Rapid Transit,47.69057,-122.3445,1479,2231,2600,2959,2231,2434,3401
G53063000,S2523442098,NW 85-RapidRide D-Bus Rapid Transit-existing,NW 85,existing,Bus Rapid Transit,Rapid Transit,47.6906,-122.3768,1404,1798,2504,2400,1798,1995,3126
G53063000,S3680547437,Mary Avenue-RapidRide D-Bus Rapid Transit-existing,Mary Avenue,existing,Bus Rapid Transit,Rapid Transit,47.69452,-122.37564,1413,2217,3653,3214,2217,2451,4685
G53063000,S168841696,N 90-RapidRide E-Bus Rapid Transit-existing,N 90,existing,Bus Rapid Transit,Rapid Transit,47.6942,-122.34456,1444,2116,2526,2977,2116,2424,3446
G53063000,S3942529624,7th Avenue NW-RapidRide D-Bus Rapid Transit-existing,7th Avenue NW,existing,Bus Rapid Transit,Rapid Transit,47.7023,-122.36417,2325,3409,5400,4058,3409,3779,6270
G53063000,S3826495567,Northgate-Red Line (Northgate Link)-Light Rail-existing,Northgate,existing,Light Rail,Light Rail,47.7033,-122.32834,2803,3468,4067,4111,3468,3564,4806
G53063000,S168733893,N 95-RapidRide E-Bus Rapid Transit-existing,N 95,existing,Bus Rapid Transit,Rapid Transit,47.69779,-122.34461,1350,2038,2338,2924,2038,2306,3276
G53063000,S1276503096,N 100-RapidRide E-Bus Rapid Transit-existing,N 100,existing,Bus Rapid Transit,Rapid Transit,47.70144,-122.34466,717,1076,1452,1520,1076,1186,1913
G53063000,S1272873533,N 105-RapidRide E-Bus Rapid Transit-existing,N 105,existing,Bus Rapid Transit,Rapid Transit,47.70508,-122.34471,1643,2055,2713,2680,2055,2306,3411
G53063000,S1272977116,N 115-RapidRide E-Bus Rapid Transit-existing,N 115,existing,Bus Rapid Transit,Rapid Transit,47.71233,-122.3448,792,1006,1621,1361,1006,1172,2035
G53035940,S2402648545,Totem Lake/Kingsgate-Stride S2-Bus Rapid Transit-planned,Totem Lake/Kingsgate,planned,Bus Rapid Transit,Rapid Transit,47.71839,-122.18742,1040,1486,2690,1555,1486,1668,2941
