TRACT_ID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NHPD_Units,Permits,Pop,Pop_density,Non_white_share,White_non_hisp,Black_non_hisp,Asian_non_Hisp,Hispanic,Workers,Transit_to_work,Walk_to_Work,Bike_to_work,Green_commute_share,BA_plus_25_plus,Med_HH_inc,Cost_burdened,Very_cost_burdened,Med_housing_value,Jobs,Job_density,Housing_units,Housing_density,Permit_density,Permits_per_capita,Subsidized_hsg_share
G5300330000602,53,33,602,53033000602,6.02,Census Tract 6.02,G5020,S,2355577,55191,47.7188129,-122.3363779,7061.234668,2410775.045,124,415,3883,4269.409929,0.444244141,0.555755859,0.084213237,0.177440124,0.104815864,2178,0.1271809,0.061983471,0.012855831,0.202020202,0.475502291,79850,0.520833333,0.222222222,544000,6524,7173.224408,1556,1710.842609,456.2979965,106.8761267,0.079691517
G5300330000700,53,33,700,53033000700,7,Census Tract 7,G5020,S,1294438,0,47.7156896,-122.3018611,4930.278677,1294439.239,0,769,5529,11062.75021,0.441490324,0.558509676,0.09495388,0.1835775,0.105444022,3518,0.145821489,0.016770893,0.049175668,0.21176805,0.505384423,76888,0.492151431,0.104339797,541300,1404,2809.20624,2472,4946.123807,1538.660683,139.0848255,0
G5300330000800,53,33,800,53033000800,8,Census Tract 8,G5020,S,1141931,0,47.7112517,-122.2860818,4656.514301,1141932.972,0,86,2849,6461.753054,0.24956125,0.75043875,0.021762022,0.12987013,0.025623026,1707,0.110720562,0.001757469,0.014059754,0.126537786,0.669847328,109300,0.527972028,0.234265734,644200,107,242.6843021,1204,2730.765418,195.0546727,30.18603019,0
G5300330000900,53,33,900,53033000900,9,Census Tract 9,G5020,S,1004853,1849039,47.7080031,-122.2748976,6178.357813,1004850.676,0,67,2203,5678.187563,0.25283704,0.74716296,0.044484793,0.137539719,0.032682705,1075,0.149767442,0.013023256,0.00744186,0.170232558,0.778026906,128250,0.364779874,0.06918239,954100,169,435.5940527,991,2554.282285,172.6911333,30.41307308,0
G5300330001000,53,33,1000,53033001000,10,Census Tract 10,G5020,S,954203,0,47.7064073,-122.2960632,4002.112549,954204.8362,50,124,2037,5529.018228,0.273932253,0.726067747,0.063819342,0.11143839,0.019145803,1045,0.180861244,0.007655502,0.083253589,0.271770335,0.671641791,106964,0.575892857,0.272321429,657000,517,1403.290341,758,2057.435355,336.5725382,60.87383407,0.065963061
G5300330001100,53,33,1100,53033001100,11,Census Tract 11,G5020,S,1060685,0,47.7065465,-122.306806,4310.026065,1060690.902,0,65,2713,6624.622525,0.43899742,0.56100258,0.006266126,0.313306303,0.0508662,1496,0.143048128,0.034090909,0.011363636,0.188502674,0.700335089,119583,0.69023569,0.373737374,668300,401,979.1646268,1123,2742.149317,158.7174582,23.95871729,0
G5300330001201,53,33,1201,53033001201,12.01,Census Tract 12.01,G5020,S,1008240,0,47.7079921,-122.3273315,4846.626211,1008240.495,237,139,4135,10622.07494,0.379201935,0.620798065,0.089721886,0.178718259,0.065054414,2010,0.274626866,0.056218905,0.017910448,0.348756219,0.379502292,47924,0.553660983,0.317452357,335800,4387,11269.41784,2537,6517.098941,357.0661225,33.61547763,0.093417422
G5300330001202,53,33,1202,53033001202,12.02,Census Tract 12.02,G5020,S,821426,0,47.7060217,-122.3172561,4056.047483,821425.584,0,771,3111,9809.103938,0.447123112,0.552876888,0.156541305,0.145290903,0.075538412,1818,0.292079208,0.0220022,0.02860286,0.342684268,0.605741627,72660,0.596846847,0.364864865,637400,1421,4480.46824,1588,5007.025732,2430.992972,247.8302797,0
G5300330001300,53,33,1300,53033001300,13,Census Tract 13,G5020,S,1180877,0,47.7022935,-122.3421875,4537.684022,1180880.933,424,653,4998,10961.98891,0.457182873,0.542817127,0.044617847,0.163465386,0.171868747,3207,0.249454319,0.019956345,0.021203617,0.290614281,0.532943271,77791,0.384142174,0.187286398,606500,1378,3022.333076,2572,5641.103536,1432.208635,130.6522609,0.164852255
G5300330001400,53,33,1400,53033001400,14,Census Tract 14,G5020,S,2152767,213389,47.7078795,-122.3674088,9368.481707,2152766.775,72,348,5517,6637.487663,0.276055827,0.723944173,0.009787928,0.096791735,0.043501903,3599,0.183384273,0.00277855,0.047235343,0.233398166,0.645680147,104095,0.482076638,0.232385661,621100,886,1065.944185,2475,2977.665754,418.6778515,63.07775965,0.029090909
G5300330001500,53,33,1500,53033001500,15,Census Tract 15,G5020,S,1167711,526885,47.6979702,-122.3952683,4490.424035,1167711.483,0,97,2873,6372.326578,0.205012182,0.794987818,0.022624434,0.07831535,0.012182388,1708,0.144613583,0.016393443,0.015222482,0.176229508,0.618820468,142063,0.141221374,0.072519084,904100,121,268.3785297,1203,2668.259267,215.1464247,33.76261747,0
G5300330001600,53,33,1600,53033001600,16,Census Tract 16,G5020,S,2020358,320118,47.7004649,-122.3798699,7065.649545,2020355.015,20,308,4903,6285.377,0.271466449,0.728533551,0.007342443,0.150112176,0.044258617,2745,0.150455373,0.012750455,0.010564663,0.173770492,0.78172738,172232,0.363867684,0.170483461,940000,634,812.753216,1923,2465.180496,394.8391018,62.81868244,0.010400416
G5300330001701,53,33,1701,53033001701,17.01,Census Tract 17.01,G5020,S,892768,0,47.6963619,-122.3544843,5223.408132,892766.8189,61,845,4442,12886.58104,0.379558757,0.620441243,0.093201261,0.086222422,0.109410176,3315,0.330618401,0.009954751,0.030769231,0.371342383,0.614417435,83456,0.373961219,0.172437673,459400,1379,4000.584255,2206,6399.774377,2451.409496,190.2296263,0.027651859
G5300330001702,53,33,1702,53033001702,17.02,Census Tract 17.02,G5020,S,1280220,0,47.6965211,-122.3639488,5325.23786,1280221.379,51,837,5121,10360.19521,0.289591877,0.710408123,0.044132005,0.10388596,0.076352275,3166,0.23436513,0.035691725,0.029058749,0.299115603,0.602755722,92361,0.368902439,0.12804878,648600,843,1705.456857,2584,5227.639997,1693.318374,163.4446397,0.019736842
G5300330001800,53,33,1800,53033001800,18,Census Tract 18,G5020,S,946085,0,47.6940568,-122.3419681,4256.15037,946082.7676,6,908,5059,13849.44254,0.355208539,0.644791461,0.013046057,0.219806286,0.058904922,3547,0.239357203,0.047927826,0.027628982,0.314914012,0.694624773,95885,0.417030568,0.163027656,657700,495,1355.104578,2479,6786.47323,2485.727185,179.4821111,0.002420331
G5300330001900,53,33,1900,53033001900,19,Census Tract 19,G5020,S,1667272,0,47.6965229,-122.3262226,5770.935512,1667271.169,210,717,5100,7922.486171,0.278235294,0.721764706,0.041764706,0.161764706,0.021960784,3190,0.218181818,0.025705329,0.007836991,0.251724138,0.701714574,108542,0.469034608,0.20856102,652900,3503,5441.660599,2352,3653.66421,1113.80835,140.5882353,0.089285714
G5300330002000,53,33,2000,53033002000,20,Census Tract 20,G5020,S,1103313,28680,47.695331,-122.3108025,4722.324574,1131993.81,12,269,4120,9671.553779,0.219417476,0.780582524,0.008252427,0.105582524,0.038834951,2245,0.157238307,0.018262806,0.042316258,0.217817372,0.59865686,124205,0.486792453,0.101886792,679400,485,1138.520287,1626,3816.977292,631.467953,65.29126214,0.007380074
G5300330002100,53,33,2100,53033002100,21,Census Tract 21,G5020,S,1365468,0,47.6953673,-122.2980453,4919.23102,1365466.796,0,279,4584,8694.825142,0.205497382,0.794502618,0.016579407,0.120636998,0.044502618,2749,0.198253911,0.025827574,0.03746817,0.261549654,0.687938931,122984,0.435240964,0.207831325,780200,667,1265.150168,1967,3730.960091,529.2007449,60.86387435,0
G5300330002200,53,33,2200,53033002200,22,Census Tract 22,G5020,S,2804076,1154953,47.6941159,-122.2754574,8557.294724,2804074.431,0,241,6147,5677.683812,0.2814381,0.7185619,0.001952172,0.154872295,0.054823491,3174,0.133900441,0.006616257,0.034971645,0.175488343,0.769265846,140769,0.33463035,0.19844358,888400,639,590.213105,2495,2304.509698,222.5999347,39.2061168,0
G5300330002400,53,33,2400,53033002400,24,Census Tract 24,G5020,S,962528,0,47.6866167,-122.2879303,4014.715501,962528.9848,0,75,3311,8909.29992,0.211718514,0.788281486,0.002718212,0.131984295,0.052552099,2095,0.192362768,0.039618138,0.031026253,0.26300716,0.754008604,145391,0.203208556,0.042780749,819900,367,987.5303747,1452,3907.068403,201.8113845,22.65176684,0
G5300330002500,53,33,2500,53033002500,25,Census Tract 25,G5020,S,984334,0,47.6838969,-122.3022793,4999.466653,984335.3704,39,216,3561,9369.733912,0.191519236,0.808480764,0.00533558,0.092108958,0.033698399,2080,0.177403846,0.025961538,0.059615385,0.262980769,0.77704918,132898,0.278728606,0.11002445,775000,936,2462.811273,1375,3617.911859,568.3410629,60.65711879,0.028363636
G5300330002600,53,33,2600,53033002600,26,Census Tract 26,G5020,S,1216627,28175,47.6822031,-122.3113993,4845.580243,1244796.412,0,849,5598,11917.17218,0.220971776,0.779028224,0.006609503,0.103251161,0.055555556,3481,0.162309681,0.035621948,0.092502155,0.290433783,0.797310757,135000,0.461325967,0.227900552,791700,849,1807.373916,2126,4525.885684,1807.373916,151.6613076,0
G5300330002700,53,33,2700,53033002700,27,Census Tract 27,G5020,S,1584847,0,47.6868572,-122.3310895,6694.326526,1584848.2,0,314,6129,10016.13224,0.236743351,0.763256649,0.014521129,0.113395334,0.047316039,3744,0.150641026,0.022168803,0.049145299,0.221955128,0.789740051,149239,0.339705882,0.108823529,891000,913,1492.042541,2474,4043.059415,513.1449702,51.23184859,0
G5300330002800,53,33,2800,53033002800,28,Census Tract 28,G5020,S,988287,0,47.6851257,-122.3498985,4018.051395,988286.1765,0,283,5205,13640.66118,0.265129683,0.734870317,0.039000961,0.052065322,0.070317003,3546,0.213479977,0.043429216,0.017766497,0.274675691,0.706424242,122813,0.216350947,0.167497507,768300,1601,4195.715379,2449,6418.055567,741.6536241,54.37079731,0
G5300330002900,53,33,2900,53033002900,29,Census Tract 29,G5020,S,986209,0,47.6850872,-122.3606466,4068.363434,986208.8142,0,252,4744,12458.72183,0.153246206,0.846753794,0.000210793,0.045109612,0.046374368,2749,0.176064023,0.032739178,0.063659513,0.272462714,0.695023631,107578,0.392011834,0.134615385,780900,728,1911.878055,2217,5822.298966,661.803942,53.11973019,0
G5300330003000,53,33,3000,53033003000,30,Census Tract 30,G5020,S,1493249,0,47.6850958,-122.3740444,4895.781757,1493252.787,0,482,6509,11289.63261,0.192809955,0.807190045,0.001382701,0.072668613,0.069749578,3915,0.120561941,0.021200511,0.0651341,0.206896552,0.722810591,109941,0.339690107,0.151370679,757800,885,1535.001515,2843,4931.083964,836.0121247,74.05131357,0
G5300330003100,53,33,3100,53033003100,31,Census Tract 31,G5020,S,2236733,472744,47.6877574,-122.3964308,7708.007214,2236730.515,54,144,6718,7778.99737,0.152426317,0.847573683,0.003721346,0.041679071,0.034385234,3818,0.146411734,0.015453117,0.043478261,0.205343112,0.715504979,148884,0.185114504,0.08778626,759700,514,595.177828,2846,3295.478791,166.7424265,21.43495088,0.018973999
G5300330003201,53,33,3201,53033003201,32.01,Census Tract 32.01,G5020,S,1152079,1354300,47.6752462,-122.4040825,8209.933446,1152081.669,796,848,4508,10134.4321,0.252883762,0.747116238,0.003992902,0.109139308,0.085181899,2954,0.232227488,0.066012187,0.010494245,0.30873392,0.634215992,98993,0.410027473,0.195054945,918500,1512,3399.126295,2594,5831.569847,1906.388292,188.1100266,0.306861989
G5300330003202,53,33,3202,53033003202,32.02,Census Tract 32.02,G5020,S,956016,0,47.6752342,-122.3942667,3946.866095,956013.5966,0,446,4773,12930.75979,0.214959145,0.785040855,0.007332914,0.108527132,0.048606746,2769,0.243048032,0.075117371,0.057782593,0.375947996,0.685448578,125163,0.355817875,0.15851602,784600,399,1080.94975,2347,6358.368578,1208.27967,93.44227949,0
G5300330003301,53,33,3301,53033003301,33.01,Census Tract 33.01,G5020,S,669207,0,47.675937,-122.3820154,3407.259684,669208.3465,0,877,4671,18077.86599,0.252194391,0.747805609,0.01391565,0.102547634,0.041746949,2998,0.232488326,0.045697131,0.157104736,0.435290193,0.800542741,116000,0.219879518,0.094879518,864200,536,2074.445765,2158,8351.966345,3394.195776,187.7542282,0
G5300330003302,53,33,3302,53033003302,33.02,Census Tract 33.02,G5020,S,627071,0,47.676008,-122.3712585,3216.269105,627072.1062,0,428,4085,16872.25439,0.146878825,0.853121175,0.014443084,0.040636475,0.055079559,2590,0.322007722,0.031660232,0.048262548,0.401930502,0.665265201,137917,0.260657734,0.073081608,691100,240,991.2707596,1703,7033.892098,1767.766188,104.7735618,0
G5300330003400,53,33,3400,53033003400,34,Census Tract 34,G5020,S,787161,0,47.6740646,-122.3617462,3843.17796,787165.9219,2,115,3735,12289.23383,0.193842035,0.806157965,0.012583668,0.08647925,0.039892905,2294,0.205318221,0.018308631,0.059285092,0.282911944,0.748729121,122440,0.388709677,0.177419355,848000,468,1539.855805,1625,5346.721546,378.383371,30.78982597,0.001230769
G5300330003500,53,33,3500,53033003500,35,Census Tract 35,G5020,S,1284745,0,47.6725466,-122.352088,5060.922864,1284745.92,0,353,4370,8809.723363,0.167505721,0.832494279,0.008237986,0.057665904,0.034324943,2499,0.205282113,0.086834734,0.06202481,0.354141657,0.804885141,107702,0.495915986,0.295215869,898400,1451,2925.150709,2066,4164.963036,711.6321161,80.77803204,0
G5300330003601,53,33,3601,53033003601,36.01,Census Tract 36.01,G5020,S,674139,0,47.6749093,-122.326043,3631.299351,674133.9965,0,619,4047,15548.25026,0.318507536,0.681492464,0.001729676,0.234741784,0.03063998,2121,0.231023102,0.01980198,0.01650165,0.267326733,0.838174274,76045,0.382536383,0.185031185,654700,1136,4364.421126,2315,8894.044812,2378.148483,152.9528045,0
G5300330003602,53,33,3602,53033003602,36.02,Census Tract 36.02,G5020,S,522326,0,47.6801362,-122.3218336,3494.924614,522322.6491,704,2503,3930,19487.16563,0.319847328,0.680152672,0.045801527,0.141475827,0.04173028,2798,0.233738385,0.033238027,0.035382416,0.302358828,0.769368296,83367,0.395912548,0.150665399,592400,1565,7760.156287,2708,13427.79759,12411.29149,636.8956743,0.259970458
G5300330003800,53,33,3800,53033003800,38,Census Tract 38,G5020,S,624606,0,47.6794093,-122.2955292,3167.364053,624606.188,0,277,2585,10718.94805,0.328820116,0.671179884,0.026692456,0.128433269,0.062669246,1610,0.219875776,0.045962733,0.040372671,0.30621118,0.830083565,125938,0.480113636,0.090909091,851900,372,1542.533336,1006,4171.47456,1148.606812,107.1566731,0
G5300330003900,53,33,3900,53033003900,39,Census Tract 39,G5020,S,973808,0,47.6794117,-122.2823414,4029.489205,973807.6891,0,64,3110,8271.510424,0.315755627,0.684244373,0.007717042,0.206752412,0.030546624,1613,0.119032858,0.044017359,0.070055797,0.233106014,0.843888071,141786,0.471830986,0.207746479,920100,434,1154.28795,1223,3252.751527,170.2175779,20.57877814,0
G5300330004000,53,33,4000,53033004000,40,Census Tract 40,G5020,S,2574586,3232248,47.681718,-122.252368,8345.891211,2574589.983,400,322,3320,3339.861448,0.240060241,0.759939759,0.093975904,0.077409639,0.01626506,1656,0.112922705,0.016908213,0.042874396,0.172705314,0.724682157,98333,0.482384824,0.075880759,838600,1362,1370.14798,1464,1472.758181,323.9263212,96.98795181,0.273224044
G5300330004101,53,33,4101,53033004101,41.01,Census Tract 41.01,G5020,S,1601973,3290570,47.66064,-122.2694346,7186.370382,1601974.067,0,79,4398,7110.46173,0.140063665,0.859936335,0.014779445,0.08640291,0.008185539,1951,0.07893388,0.047667863,0.034341363,0.160943106,0.945723684,250001,0.254032258,0.112903226,1779100,1392,2250.51449,1495,2417.039629,127.7231643,17.96271032,0
G5300330004102,53,33,4102,53033004102,41.02,Census Tract 41.02,G5020,S,1689910,2027249,47.6737465,-122.25175,7074.841665,1689904.918,0,943,3912,5995.60538,0.218813906,0.781186094,0.001278119,0.136758691,0.040388548,1930,0.238341969,0.034715026,0.062694301,0.335751295,0.865505743,156667,0.662420382,0.418259023,1127800,7839,12014.20004,1679,2573.267237,1445.259681,241.0531697,0
G5300330004201,53,33,4201,53033004201,42.01,Census Tract 42.01,G5020,S,1244114,0,47.671624,-122.277599,5576.219479,1244107.347,113,247,3533,7354.975504,0.167562978,0.832437022,0,0.113784319,0.011887914,1831,0.079191699,0.105406881,0.046968869,0.231567449,0.747846515,154211,0.585831063,0.188010899,943900,503,1047.141998,1586,3301.724073,514.2029293,69.91225587,0.071248424
G5300330004202,53,33,4202,53033004202,42.02,Census Tract 42.02,G5020,S,1220977,0,47.6687521,-122.2907266,4760.759997,1220974.379,44,182,4851,10290.1466,0.167182024,0.832817976,0.014223871,0.078540507,0.021645022,2834,0.203246295,0.0649259,0.060691602,0.328863797,0.835443038,132386,0.324626866,0.166044776,867600,849,1800.934748,1923,4079.149023,386.0661061,37.51803752,0.022880915
G5300330004301,53,33,4301,53033004301,43.01,Census Tract 43.01,G5020,S,979236,0,47.6694019,-122.3002215,5231.785059,979235.2788,0,761,3870,10235.78993,0.373126615,0.626873385,0.013436693,0.172609819,0.080361757,1918,0.248696559,0.101147028,0.032846715,0.382690302,0.759201774,82697,0.566229985,0.216885007,893100,3570,9442.317841,1590,4205.402064,2012.774195,196.6408269,0
G5300330004302,53,33,4302,53033004302,43.02,Census Tract 43.02,G5020,S,331137,0,47.6647387,-122.3035964,2429.610998,331136.2453,0,790,4212,32944.15882,0.437559354,0.562440646,0.036324786,0.202041785,0.05674264,1864,0.193669528,0.295064378,0.146459227,0.635193133,0.616402116,38033,0.673423423,0.425675676,893400,950,7430.425186,1823,14258.59486,6178.985155,187.5593542,0
G5300330004401,53,33,4401,53033004401,44.01,Census Tract 44.01,G5020,S,694919,0,47.671271,-122.3107454,3941.973095,694916.1428,0,303,4319,16097.06836,0.270664506,0.729335494,0.020606622,0.093771706,0.137763371,2846,0.374912157,0.079761068,0.021433591,0.476106817,0.798775153,135329,0.502608696,0.267826087,996300,870,3242.521295,1279,4766.879008,1129.291899,70.1551285,0
G5300330004402,53,33,4402,53033004402,44.02,Census Tract 44.02,G5020,S,294988,0,47.6681501,-122.3147285,2277.663857,294986.4235,0,728,3414,29974.84443,0.44874048,0.55125952,0.020796719,0.245459871,0.103983597,2226,0.30458221,0.151392633,0.039083558,0.495058401,0.734113712,51213,0.588028169,0.29084507,842500,762,6690.343133,1814,15926.87985,6391.823885,213.2396016,0
G5300330004500,53,33,4500,53033004500,45,Census Tract 45,G5020,S,670997,0,47.6685824,-122.3229111,3359.583705,670995.3877,49,115,3504,13525.12506,0.293378995,0.706621005,0.011130137,0.148687215,0.061358447,2226,0.236298293,0.075471698,0.086253369,0.39802336,0.796125055,115885,0.452322738,0.163814181,767300,362,1397.287463,1107,4272.920502,443.8896637,32.8196347,0.044263776
G5300330004600,53,33,4600,53033004600,46,Census Tract 46,G5020,S,1552358,1033232,47.683092,-122.3378674,7773.286631,2585588.642,0,124,3660,6106.424216,0.110928962,0.889071038,0.015027322,0.03852459,0.034153005,2037,0.212567501,0.038782523,0.045164458,0.296514482,0.784758364,136940,0.273603083,0.113680154,956400,422,704.074049,1508,2515.980251,206.8843177,33.87978142,0
G5300330004701,53,33,4701,53033004701,47.01,Census Tract 47.01,G5020,S,571393,176916,47.6654796,-122.3828943,4293.524904,571397.1466,51,2471,3144,14251.00171,0.271628499,0.728371501,0.007951654,0.141857506,0.076335878,2005,0.231421446,0.179052369,0.048877805,0.459351621,0.724137931,75788,0.550277606,0.311536089,488400,5423,24581.16484,2306,10452.54769,11200.45331,785.9414758,0.022116219
G5300330004702,53,33,4702,53033004702,47.02,Census Tract 47.02,G5020,S,266414,0,47.670513,-122.3778052,2123.771042,266415.9806,80,2187,3180,30914.90008,0.366352201,0.633647799,0,0.261006289,0.045597484,2292,0.336823735,0.04886562,0.013089005,0.39877836,0.861835059,103750,0.521148036,0.181268882,545500,973,9459.181692,2316,22515.38006,21261.28506,687.7358491,0.034542314
G5300330004703,53,33,4703,53033004703,47.03,Census Tract 47.03,G5020,S,1188631,155567,47.6643472,-122.3721352,5496.900592,1188627.376,55,1101,3968,8646.142345,0.258568548,0.741431452,0.0390625,0.081905242,0.041078629,2877,0.345151199,0.077511296,0.075425791,0.498088286,0.847930703,105815,0.279456193,0.142749245,689100,4727,10299.97854,2067,4503.92546,2399.043025,277.4697581,0.026608612
G5300330004800,53,33,4800,53033004800,48,Census Tract 48,G5020,S,1278329,26886,47.6608472,-122.3601847,5715.380935,1278332.858,0,450,5452,11046.15101,0.235509905,0.764490095,0.007520176,0.125641966,0.031181218,3670,0.184741144,0.052043597,0.067302452,0.304087193,0.780871947,119946,0.229641694,0.069218241,815000,1619,3280.212489,2676,5421.771847,911.7329339,82.53851798,0
G5300330004901,53,33,4901,53033004901,49.01,Census Tract 49.01,G5020,S,497144,0,47.6613804,-122.3513529,2856.169978,497142.0469,71,501,4397,22907.20138,0.209688424,0.790311576,0.006367978,0.087787128,0.088469411,3264,0.325367647,0.067401961,0.034620098,0.427389706,0.704572804,105053,0.343272727,0.077090909,590800,923,4808.584687,2196,11440.57635,2610.076845,113.9413236,0.032331512
G5300330004902,53,33,4902,53033004902,49.02,Census Tract 49.02,G5020,S,597604,17368,47.652783,-122.3506012,3258.890462,597604.7152,0,783,3517,15242.51542,0.142166619,0.857833381,0.025589991,0.038384987,0.041796986,2879,0.255644321,0.083014936,0.044112539,0.382771796,0.811676753,122422,0.312142857,0.068571429,811500,3831,16603.3769,1999,8663.573591,3393.485804,222.6329258,0
G5300330005000,53,33,5000,53033005000,50,Census Tract 50,G5020,S,757380,0,47.6608696,-122.3418076,3522.254932,757383.1292,70,869,4376,14964.46694,0.31809872,0.68190128,0.054616088,0.079753199,0.101234004,3393,0.212496316,0.02858827,0.024167403,0.265251989,0.716392021,108022,0.407672634,0.138107417,840000,1976,6757.263865,2597,8880.87766,2971.691447,198.583181,0.026954178
G5300330005100,53,33,5100,53033005100,51,Census Tract 51,G5020,S,881731,0,47.6585183,-122.332248,4092.293624,881731.749,0,138,3750,11015.21373,0.246933333,0.753066667,0.029866667,0.065333333,0.074933333,2134,0.184629803,0.111059044,0.083880037,0.379568885,0.761182994,125372,0.548571429,0.264761905,908500,1344,3947.852599,1755,5155.120024,405.3598651,36.8,0
G5300330005201,53,33,5201,53033005201,52.01,Census Tract 52.01,G5020,S,699701,73218,47.6595743,-122.3245993,4342.049669,699702.4713,0,595,3857,14276.93278,0.369976666,0.630023334,0.047964739,0.186155043,0.049779621,2636,0.206373293,0.063732929,0.045902883,0.316009105,0.577801959,64038,0.525838622,0.173164098,821600,1390,5145.174115,1768,6544.365349,2202.430646,154.2649728,0
G5300330005202,53,33,5202,53033005202,52.02,Census Tract 52.02,G5020,S,269234,19268,47.6567013,-122.3203201,2594.332835,269235.225,0,1076,3283,31581.93603,0.598842522,0.401157478,0.017666768,0.483703929,0.028327749,2168,0.364391144,0.183579336,0.014760148,0.562730627,0.81953125,38344,0.56924254,0.357306809,0,341,3280.365576,1867,17960.24203,10350.94827,327.7490101,0
G5300330005303,53,33,5303,53033005303,53.03,Census Tract 53.03,G5020,S,2432843,749176,47.6540399,-122.3012544,7541.94107,2432843.615,0,290,3525,3752.691024,0.563971631,0.436028369,0.045106383,0.344397163,0.069219858,779,0.292682927,0.462130937,0.016688062,0.771501926,0.478873239,0,0.638888889,0.638888889,0,22092,23518.99294,46,48.97128712,308.7320275,82.26950355,0
