TRACT_ID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NHPD_Units,Permits,Pop,Pop_density,Non_white_share,White_non_hisp,Black_non_hisp,Asian_non_Hisp,Hispanic,Workers,Transit_to_work,Walk_to_Work,Bike_to_work,Green_commute_share,BA_plus_25_plus,Med_HH_inc,Cost_burdened,Very_cost_burdened,Med_housing_value,Jobs,Job_density,Housing_units,Housing_density,Permit_density,Permits_per_capita,Subsidized_hsg_share
G5300330000101,53,33,101,53033000101,1.01,Census Tract 1.01,G5020,S,414848,0,47.730115,-122.2930741,2636.057684,414848.5869,193,705,3659,22843.94886,0.579666576,0.420333424,0.191855698,0.154687073,0.104126811,2087,0.221370388,0.020603737,0,0.241974126,0.495584989,57862,0.457760314,0.210870989,475000,312,1947.885226,1996,12461.47087,4401.471425,192.6755944,0.096693387
G5300330000102,53,33,102,53033000102,1.02,Census Tract 1.02,G5020,S,1495019,918878,47.7247297,-122.2845705,5739.392827,1495017.252,465,1193,4539,7863.415805,0.340163032,0.659836968,0.067195417,0.151575237,0.085701696,2577,0.161816065,0.034148234,0.031431898,0.227396197,0.536612633,66589,0.645502646,0.223985891,672800,1087,1883.131302,2330,4036.518798,2066.766921,262.8332232,0.199570815
G5300330000201,53,33,201,53033000201,2.01,Census Tract 2.01,G5020,S,1806749,0,47.7263725,-122.3160435,5679.500647,1806748.281,231,219,4680,6708.814759,0.39957265,0.60042735,0.088461538,0.153205128,0.117307692,2868,0.265341702,0.019177127,0.018479777,0.302998605,0.621128319,80730,0.603588907,0.241435563,582100,440,630.7432679,2535,3633.941328,313.9381265,46.79487179,0.09112426
G5300330000202,53,33,202,53033000202,2.02,Census Tract 2.02,G5020,S,1480085,0,47.7269637,-122.3026174,5260.469167,1480087.383,70,211,4194,7339.044808,0.388888889,0.611111111,0.057224607,0.169527897,0.087982833,2203,0.166591012,0.040399455,0.0154335,0.222423967,0.597996243,103750,0.445843829,0.146095718,526300,422,738.4541986,1566,2740.330036,369.2270993,50.30996662,0.044699872
G5300330000300,53,33,300,53033000300,3,Census Tract 3,G5020,S,1211013,0,47.7305259,-122.3329277,5279.085234,1211014.053,0,174,2943,6294.180994,0.335372069,0.664627931,0.038056405,0.182466871,0.032619776,1795,0.113649025,0.057938719,0.008913649,0.180501393,0.530263839,101897,0.422960725,0.238670695,520300,772,1651.072962,1249,2671.230738,372.1330252,59.12334353,0
G5300330000402,53,33,402,53033000402,4.02,Census Tract 4.02,G5020,S,1798938,0,47.7168585,-122.3523664,6509.940887,1798937.332,0,210,5374,7737.118291,0.178451805,0.821548195,0.014700409,0.07406029,0.047450689,2895,0.192400691,0.034887737,0.023488774,0.250777202,0.446379468,75472,0.449207281,0.169700528,634900,1338,1926.361048,2970,4276.003224,302.3436623,39.07703759,0
G5300330000403,53,33,403,53033000403,4.03,Census Tract 4.03,G5020,S,669384,62871,47.7279716,-122.3536298,4293.927219,732257.6417,651,152,3347,12950.25009,0.318195399,0.681804601,0.078577831,0.121003884,0.026590977,1487,0.120376597,0.075319435,0,0.195696032,0.432559969,37432,0.547024952,0.265834933,446700,259,1002.125716,1772,6856.242353,588.1201116,45.41380341,0.36738149
G5300330000404,53,33,404,53033000404,4.04,Census Tract 4.04,G5020,S,599476,31541,47.7329839,-122.3497477,3945.65212,631016.7778,1314,1643,3739,16154.05044,0.5956138,0.4043862,0.384594811,0.113934207,0.077025943,2222,0.178667867,0,0,0.178667867,0.235086594,33089,0.702356557,0.335040984,361900,802,3464.976854,2428,10489.9798,7098.450088,439.4223054,0.541186161
G5300330000500,53,33,500,53033000500,5,Census Tract 5,G5020,S,2898252,953717,47.7224094,-122.3710555,8266.879383,2898256.846,0,66,3143,2808.704223,0.195991091,0.804008909,0.003818008,0.076678333,0.020680878,1488,0.095430108,0.028225806,0.025537634,0.149193548,0.761006289,158068,0.642857143,0.371428571,912600,150,134.0456995,1343,1200.155829,58.98010776,20.9990455,0
G5300330000601,53,33,601,53033000601,6.01,Census Tract 6.01,G5020,S,1431268,0,47.7167031,-122.3232436,6121.592972,1431268.617,0,217,4758,8609.962235,0.385456074,0.614543926,0.130306852,0.161202186,0.033837747,2574,0.137529138,0.032245532,0.013597514,0.183372183,0.49091941,81004,0.386338186,0.128779395,623700,415,750.9740075,2070,3745.822158,392.677975,45.60739807,0
