Station,Line,Mode,Status,Current units,Current zoning,Plexify reform,Multiply reform,Legalize reform,Missing middle reform,All reforms
Walmart SuperCenter,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,855,1329,1329,1713,1474,5935,6455
Pirnie Road East,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,391,527,527,660,1431,4413,5390
"Roy ""Y"" Park and Ride",Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,55,93,93,129,129,605,669
184 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,160,847,847,1434,847,1667,2239
DuPont,DuPont Sounder Extension,Commuter Rail,planned,156,276,276,396,293,653,790
176 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,541,2152,2152,3119,2152,4351,4965
168 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,705,2912,2912,4755,2912,6399,7759
159 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,418,1710,1710,2839,1710,3990,4794
Military Road,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,109,426,426,684,426,1355,1523
Tillicum,DuPont Sounder Extension,Commuter Rail,planned,488,580,1244,633,580,627,1329
146 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,237,587,587,807,587,2271,2447
138 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,805,1880,1880,2848,1880,5652,6310
Tule Lake Road,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,599,2946,2946,4925,2946,6387,7760
Garfield Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,605,3603,3603,5705,3603,6418,8017
Lakewood,Sounder,Commuter Rail,existing,757,1706,2080,2270,1820,1893,2898
112 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,664,3223,3223,4607,3223,5501,6775
104 Street South,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,628,2774,2774,4708,3240,6361,8125
South 96 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,830,1993,3352,3159,1993,3932,6273
South 84 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,971,1179,3583,1334,1179,1295,3839
South 78 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,793,921,2599,1192,921,1112,2918
Puyallup,Sounder,Commuter Rail,existing,1438,5219,6464,6884,5238,5219,8148
South 72 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,830,983,3172,1195,983,1150,3400
Sumner,Sounder,Commuter Rail,existing,775,800,2061,842,800,1792,3053
South 64 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,1179,1222,4635,1232,1222,1244,4659
South Tacoma,Sounder,Commuter Rail,existing,661,1060,2129,1131,1060,1257,2380
South 56 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,909,1041,3590,1178,1041,1058,3732
South 50 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,1004,1053,3884,1102,1053,1081,3950
South 43 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,997,1018,3727,1043,1018,1032,3756
South 38 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,453,683,1074,752,683,890,1326
South 34 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,754,1244,1258,1562,1244,1638,1780
Tacoma Dome,Orange Line (Tacoma Link)/Sounder,Light Rail,existing,83,744,750,1394,744,797,1453
South 26 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,131,1000,1000,1759,1000,1000,1759
Portland Avenue,Tacoma Dome Link Extension,Light Rail,planned,98,284,302,284,284,473,491
Pearl,TCC Tacoma Link Extension,Light Rail,planned,819,842,1941,848,842,896,1995
Ainsworth,TCC Tacoma Link Extension,Light Rail,planned,878,909,3235,914,909,948,3274
St.  Joseph,Link T Line,Light Rail,uc,801,2280,3224,3627,2280,2608,4722
South 23 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,627,1466,1481,2271,1466,1547,2367
Sprague,TCC Tacoma Link Extension,Light Rail,planned,870,972,3170,972,972,1046,3244
Fife,Tacoma Dome Link Extension,Light Rail,planned,61,455,532,455,455,745,822
Tacoma Community College,TCC Tacoma Link Extension,Light Rail,planned,99,406,501,651,406,411,749
Union,TCC Tacoma Link Extension,Light Rail,planned,572,775,2238,860,775,1003,2502
S. 25th,Orange Line (Tacoma Link),Light Rail,existing,1,769,769,1538,769,769,1538
Tacoma Dome,Tacoma Dome Link Extension,Light Rail,planned,177,496,496,815,496,496,815
Stevens,TCC Tacoma Link Extension,Light Rail,planned,568,664,2270,666,664,702,2308
South 19 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,599,1532,1532,2433,1532,1532,2433
Union Station-S. 19th,Orange Line (Tacoma Link),Streetcar,existing,445,857,857,1320,857,857,1320
South 13 Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,884,2293,2293,3622,2293,2293,3622
Hilltop District,Link T Line,Streetcar,uc,997,1744,1911,2453,1744,2213,2731
Convention Center-S. 15th,Orange Line (Tacoma Link),Streetcar,existing,12,760,760,1520,760,760,1520
Commerce Street-S. 11th,Orange Line (Tacoma Link),Streetcar,existing,235,816,816,1412,816,816,1412
Northern Terminus - Commerce Street,Pacific Avenue/SR 7 BRT,Bus Rapid Transit,planned,1162,1817,1817,2358,1817,1817,2358
6th Avenue,Link T Line,Streetcar,uc,673,3943,3999,7073,3943,4041,7167
Old City Hall,Link T Line,Streetcar,uc,342,729,729,1178,729,729,1178
Theater District-S. 9th,Orange Line (Tacoma Link),Streetcar,existing,135,437,437,762,437,437,762
South 4th,Link T Line,Streetcar,uc,1365,2126,2126,3010,2126,2126,3010
Tacoma General,Link T Line,Streetcar,uc,549,2342,2540,4158,2342,2488,4410
Stadium District,Link T Line,Streetcar,uc,1972,2322,2566,2785,2322,2452,3043
South Federal Way,Tacoma Dome Link Extension,Light Rail,planned,427,433,516,433,433,2404,2487
Auburn,RapidRide I,Arterial Rapid Transit,planned,136,717,717,971,823,717,1077
East Main Street,RapidRide I,Arterial Rapid Transit,planned,971,2554,3211,3611,2610,2761,4486
Auburn,Sounder,Commuter Rail,existing,384,1648,1648,2330,1648,1852,2449
8 Street,RapidRide I,Arterial Rapid Transit,planned,436,719,1073,1023,842,928,1604
Federal Way,Red Line (Federal Way Link),Light Rail,uc,30,123,192,123,123,135,204
S 316,RapidRide A,Bus Rapid Transit,existing,212,215,860,215,215,215,860
Federal Way Transit Center,RapidRide A,Bus Rapid Transit,existing,76,652,766,1196,738,1100,1819
15 Street,RapidRide I,Arterial Rapid Transit,planned,363,685,1438,966,835,719,1889
S 312,RapidRide A,Bus Rapid Transit,existing,281,460,820,672,460,715,1232
S 308,RapidRide A,Bus Rapid Transit,existing,731,922,1834,1179,984,1242,2379
22 Street,RapidRide I,Arterial Rapid Transit,planned,602,1336,1509,2169,1336,1679,2563
South Dash Point,RapidRide A,Bus Rapid Transit,existing,600,813,2550,1043,813,907,2850
30 Street,RapidRide I,Arterial Rapid Transit,planned,531,537,652,630,537,696,811
37 Street,RapidRide I,Arterial Rapid Transit,planned,544,664,711,788,664,680,838
S 288,RapidRide A,Bus Rapid Transit,existing,653,735,2400,865,735,906,2640
47 Street,RapidRide I,Arterial Rapid Transit,planned,5,84,90,162,84,105,188
S 283,RapidRide A,Bus Rapid Transit,existing,461,468,1389,507,468,500,1428
49 Street,RapidRide I,Arterial Rapid Transit,planned,39,813,813,1440,813,1147,1762
S 276,RapidRide A,Bus Rapid Transit,existing,424,526,1605,630,526,526,1709
S 272nd,Red Line (Federal Way Link),Light Rail,uc,726,768,1555,772,785,1509,2313
S 272,RapidRide A,Bus Rapid Transit,existing,155,264,664,375,295,264,806
266 Street,RapidRide I,Arterial Rapid Transit,planned,106,106,106,108,106,134,134
S 268,RapidRide A,Bus Rapid Transit,existing,268,268,875,268,342,268,949
S 260,RapidRide A,Bus Rapid Transit,existing,350,354,1047,359,459,391,1189
Kent High School,RapidRide I,Arterial Rapid Transit,planned,52,78,210,106,78,114,252
256 Street,RapidRide I,Arterial Rapid Transit,planned,110,355,497,402,355,602,755
259 Street,RapidRide I,Arterial Rapid Transit,planned,145,158,335,176,158,209,389
S 252,RapidRide A,Bus Rapid Transit,existing,572,583,1821,595,583,612,1856
248 Street,RapidRide I,Arterial Rapid Transit,planned,1747,1997,4012,2193,1997,2288,4346
S 248,RapidRide A,Bus Rapid Transit,existing,312,351,882,452,351,524,1069
Willis Street,RapidRide I,Arterial Rapid Transit,planned,575,1071,1704,1591,1071,1277,2320
Titus Street,RapidRide I,Arterial Rapid Transit,planned,515,518,1562,518,518,522,1566
Kent,Sounder,Commuter Rail,existing,799,2171,2398,3020,2171,2451,3497
S 240,RapidRide A,Bus Rapid Transit,existing,467,1875,2288,2899,1961,2101,3543
Ward Street,RapidRide I,Arterial Rapid Transit,planned,24,195,195,390,195,195,390
Kent/Des Moines,Red Line (Federal Way Link),Light Rail,uc,243,742,953,1242,742,742,1453
240 Street,RapidRide I,Arterial Rapid Transit,planned,380,569,995,797,569,825,1300
235 Street,RapidRide I,Arterial Rapid Transit,planned,541,563,1552,597,563,637,1633
Kent/Des Moines Road,RapidRide A,Bus Rapid Transit,existing,289,1864,2309,2729,1864,2054,3206
S 224,RapidRide A,Bus Rapid Transit,existing,453,2740,3357,5001,2740,3557,5668
228 Street,RapidRide I,Arterial Rapid Transit,planned,556,571,1867,571,571,571,1867
224 Street,RapidRide I,Arterial Rapid Transit,planned,697,704,1801,704,704,704,1801
216 Street,RapidRide I,Arterial Rapid Transit,planned,829,847,2748,847,847,847,2748
S 216,RapidRide A,Bus Rapid Transit,existing,487,1877,2447,3317,2439,2755,4643
