station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,mode,line
22nd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,8658,12276,12825,17213,12276,13840,18369,-122.30357,47.61849,at grade,proposed,,22nd Avenue,Bus Rapid Transit,Madison RapidRide G
235 Street-RapidRide I-Arterial Rapid Transit-planned,2412,2467,4724,2551,2467,3337,5608,-122.20222,47.39092,at grade,planned,,235 Street,Arterial Rapid Transit,RapidRide I
236th Street-Swift Blue Line-Bus Rapid Transit-existing,1200,8420,11045,13657,8420,8817,16679,-122.34221,47.78514,at grade,existing,2009,236th Street,Bus Rapid Transit,Swift Blue Line
24 Avenue S-RapidRide F-Bus Rapid Transit-existing,155,156,621,156,156,156,621,-122.30288,47.46512,at grade,existing,2014,24 Avenue S,Bus Rapid Transit,RapidRide F
240 Street-RapidRide I-Arterial Rapid Transit-planned,2386,2847,3706,3392,2847,4061,5037,-122.20224,47.38692,at grade,planned,,240 Street,Arterial Rapid Transit,RapidRide I
248 Street-RapidRide I-Arterial Rapid Transit-planned,8989,9985,13640,11236,9985,12993,16908,-122.20233,47.37972,at grade,planned,,248 Street,Arterial Rapid Transit,RapidRide I
24th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,4149,4650,5308,6130,4650,5279,6850,-122.30114,47.62012,at grade,proposed,,24th Avenue,Bus Rapid Transit,Madison RapidRide G
256 Street-RapidRide I-Arterial Rapid Transit-planned,2697,7323,7517,10878,7323,10906,13349,-122.20241,47.37309,at grade,planned,,256 Street,Arterial Rapid Transit,RapidRide I
259 Street-RapidRide I-Arterial Rapid Transit-planned,823,1721,2049,2993,1721,2519,3529,-122.22995,47.37003,at grade,planned,,259 Street,Arterial Rapid Transit,RapidRide I
25th Avenue-RapidRide H-Bus Rapid Transit-proposed,2217,3795,5010,6073,3795,4581,7360,-122.36465,47.52101,at grade,proposed,,25th Avenue,Bus Rapid Transit,RapidRide H
266 Street-RapidRide I-Arterial Rapid Transit-planned,336,376,394,484,376,642,660,-122.22993,47.36341,at grade,planned,,266 Street,Arterial Rapid Transit,RapidRide I
26th Avenue-RapidRide H-Bus Rapid Transit-proposed,1817,4494,4788,7736,4494,9131,12206,-122.36587,47.51736,at grade,proposed,,26th Avenue,Bus Rapid Transit,RapidRide H
28-RapidRide C-Bus Rapid Transit-existing,2639,5252,6189,9383,5252,8224,13043,-122.36859,47.51739,at grade,existing,2012,28,Bus Rapid Transit,RapidRide C
30 Avenue-Stride S3-Bus Rapid Transit-planned,3725,5768,7838,7355,5768,6210,9720,-122.29649,47.7338,at grade,planned,,30 Avenue,Bus Rapid Transit,Stride S3
30 Street-RapidRide I-Arterial Rapid Transit-planned,962,4672,4836,6548,4672,4978,6842,-122.22203,47.33387,at grade,planned,,30 Street,Arterial Rapid Transit,RapidRide I
32 Avenue S-RapidRide F-Bus Rapid Transit-existing,2371,8488,9937,15007,8488,16364,22691,-122.29153,47.46515,at grade,existing,2014,32 Avenue S,Bus Rapid Transit,RapidRide F
35-RapidRide C-Bus Rapid Transit-existing,5431,7684,13478,10700,7684,8138,16494,-122.37676,47.52107,at grade,existing,2012,35,Bus Rapid Transit,RapidRide C
37 Street-RapidRide I-Arterial Rapid Transit-planned,2406,8753,8847,15311,8753,10287,15670,-122.22234,47.34023,at grade,planned,,37 Street,Arterial Rapid Transit,RapidRide I
3rd & Stewart-Center City Connector-Streetcar-proposed,5438,17336,17336,34112,17336,17336,34112,-122.33943,47.6116,at grade,proposed,,3rd & Stewart,Streetcar,Center City Connector
3rd Avenue West-RapidRide D-Bus Rapid Transit-existing,19772,31997,32700,42428,32100,32445,43326,-122.36061,47.62459,at grade,existing,2012,3rd Avenue West,Bus Rapid Transit,RapidRide D
3rd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,23,78731,78731,157462,78731,78731,157462,-122.33449,47.60543,at grade,proposed,,3rd Avenue,Bus Rapid Transit,Madison RapidRide G
3rd Avenue-Swift Green Line-Bus Rapid Transit-existing,450,2311,3446,3340,2311,5306,7122,-122.22798,47.88182,at grade,existing,2019,3rd Avenue,Bus Rapid Transit,Swift Green Line
4 Avenue SW-RapidRide F-Bus Rapid Transit-existing,11378,14753,15206,19185,14753,17950,20103,-122.33908,47.46325,at grade,existing,2014,4 Avenue SW,Bus Rapid Transit,RapidRide F
41st Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,10679,36939,37041,66663,36939,37340,66857,-122.31718,47.65689,at grade,proposed,,41st Street,Bus Rapid Transit,Roosevelt RapidRide
41st Street-Swift Blue Line-Bus Rapid Transit-existing,1094,12818,14440,15590,12818,14832,18856,-122.21085,47.96334,at grade,existing,2009,41st Street,Bus Rapid Transit,Swift Blue Line
42 Avenue S-RapidRide F-Bus Rapid Transit-existing,2667,3181,5722,3805,3171,5201,7742,-122.28127,47.4659,at grade,existing,2014,42 Avenue S,Bus Rapid Transit,RapidRide F
43rd Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,13575,32919,33110,57579,32919,33604,58245,-122.31661,47.66023,at grade,proposed,,43rd Street,Bus Rapid Transit,Roosevelt RapidRide
45-RapidRide C-Bus Rapid Transit-existing,1501,1610,3341,1883,1610,1668,3618,-122.3902,47.52078,at grade,existing,2012,45,Bus Rapid Transit,RapidRide C
47 Street-RapidRide I-Arterial Rapid Transit-planned,372,4738,4750,8688,4738,4931,8802,-122.2223,47.34492,at grade,planned,,47 Street,Arterial Rapid Transit,RapidRide I
49 Street-RapidRide I-Arterial Rapid Transit-planned,70,1221,1224,2216,1221,2183,3137,-122.22704,47.35121,at grade,planned,,49 Street,Arterial Rapid Transit,RapidRide I
4th Avenue-Swift Green Line-Bus Rapid Transit-existing,1516,10253,10369,18050,10253,10622,18535,-122.23882,47.88192,at grade,existing,2019,4th Avenue,Bus Rapid Transit,Swift Green Line
52 Avenue S-RapidRide F-Bus Rapid Transit-existing,1677,1737,2395,1785,3237,2030,4188,-122.26905,47.46513,at grade,existing,2014,52 Avenue S,Bus Rapid Transit,RapidRide F
52nd Street-Swift Blue Line-Bus Rapid Transit-existing,1512,10619,12524,14030,10619,11097,16413,-122.21453,47.94939,at grade,existing,2009,52nd Street,Bus Rapid Transit,Swift Blue Line
5th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,106934,154348,154348,203998,154348,154348,203998,-122.33119,47.60682,at grade,proposed,,5th Avenue,Bus Rapid Transit,Madison RapidRide G
5th/Jackson-Japantown-First Hill Line-Streetcar-existing,12587,12587,12587,12587,12587,12587,12587,-122.327,47.5992,at grade,existing,2016,5th/Jackson-Japantown,Streetcar,First Hill Line
61 Avenue-Stride S3-Bus Rapid Transit-planned,689,1080,2546,1666,1080,1162,3132,-122.26233,47.75838,at grade,planned,,61 Avenue,Bus Rapid Transit,Stride S3
62 Avenue S-RapidRide F-Bus Rapid Transit-existing,2130,2315,2568,2982,2570,3675,4183,-122.25633,47.46268,at grade,existing,2014,62 Avenue S,Bus Rapid Transit,RapidRide F
65 Avenue S-RapidRide F-Bus Rapid Transit-existing,1131,7140,7212,13092,15255,7297,21436,-122.25186,47.46251,at grade,existing,2014,65 Avenue S,Bus Rapid Transit,RapidRide F
65 Avenue-Stride S3-Bus Rapid Transit-planned,1526,2817,3662,3588,2817,3138,4700,-122.2536,47.75868,at grade,planned,,65 Avenue,Bus Rapid Transit,Stride S3
6th Avenue-Link T Line-Streetcar-uc,3190,27058,27268,41303,27058,27434,41606,-122.45292,47.25726,at grade,uc,,6th Avenue,Streetcar,Link T Line
6th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,12464,47889,47889,83352,47889,47889,83352,-122.33802,47.61463,at grade,proposed,,6th Avenue,Bus Rapid Transit,Roosevelt RapidRide
7th Avenue NW-RapidRide D-Bus Rapid Transit-existing,2789,4460,6613,5109,4460,5063,7716,-122.36417,47.7023,at grade,existing,2012,7th Avenue NW,Bus Rapid Transit,RapidRide D
7th/Jackson-Chinatown-First Hill Line-Streetcar-existing,15262,15262,15262,15262,15262,15262,15262,-122.32346,47.5992,at grade,existing,2016,7th/Jackson-Chinatown,Streetcar,First Hill Line
8 Street-RapidRide I-Arterial Rapid Transit-planned,1425,6190,6810,10869,7203,6822,12895,-122.22334,47.3157,at grade,planned,,8 Street,Arterial Rapid Transit,RapidRide I
8th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,44256,104734,104734,184569,104734,104851,184686,-122.32845,47.60796,at grade,proposed,,8th Avenue,Bus Rapid Transit,Madison RapidRide G
9th Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,89330,131271,131271,186851,131271,131281,186861,-122.33531,47.61672,at grade,proposed,,9th Avenue,Bus Rapid Transit,Roosevelt RapidRide
Ainsworth-TCC Tacoma Link Extension-Light Rail-planned,1932,2015,7038,2027,2015,2209,7232,-122.45698,47.24308,at grade,planned,,Ainsworth,Light Rail,TCC Tacoma Link Extension
Alaska Junction-West Seattle Link Extension-Light Rail-planned,6135,10513,11656,16537,10513,11241,17728,-122.38567,47.55936,elevated,planned,,Alaska Junction,Light Rail,West Seattle Link Extension
Alderwood Mall-Swift Orange Line-Arterial Rapid Transit-uc,131,210,426,308,210,343,623,-122.27772,47.82825,at grade,uc,,Alderwood Mall,Arterial Rapid Transit,Swift Orange Line
Andover Park East-RapidRide F-Bus Rapid Transit-existing,3126,13425,13425,23962,13425,13425,23962,-122.25,47.45577,at grade,existing,2014,Andover Park East,Bus Rapid Transit,RapidRide F
Ash Way Park and Ride-Swift Orange Line-Arterial Rapid Transit-uc,742,7678,7696,13146,7678,8118,13604,-122.26087,47.84983,at grade,uc,,Ash Way Park and Ride,Arterial Rapid Transit,Swift Orange Line
Ash Way-Everett Link Extension-Light Rail-planned,229,6678,6820,8158,6678,7969,9246,-122.2573,47.85089,at grade,planned,,Ash Way,Light Rail,Everett Link Extension
Auburn-RapidRide I-Arterial Rapid Transit-planned,1046,2643,2643,3369,2788,2643,3514,-122.23193,47.30569,at grade,planned,,Auburn,Arterial Rapid Transit,RapidRide I
Auburn-Sounder-Commuter Rail-existing,1160,5997,5997,8679,7257,6551,10271,-122.23223,47.30614,at grade,existing,2000,Auburn,Commuter Rail,Sounder
Aurora Village Transit Center-Swift Blue Line-Bus Rapid Transit-existing,1947,3198,6009,3588,3198,3207,6408,-122.34073,47.77421,at grade,existing,2009,Aurora Village Transit Center,Bus Rapid Transit,Swift Blue Line
Avalon-West Seattle Link Extension-Light Rail-planned,2367,2367,3813,2458,2367,2395,3904,-122.37648,47.56472,elevated,planned,,Avalon,Light Rail,West Seattle Link Extension
Baker Boulevard-RapidRide F-Bus Rapid Transit-existing,72,1962,1962,2190,1962,1962,2190,-122.25435,47.45823,at grade,existing,2014,Baker Boulevard,Bus Rapid Transit,RapidRide F
Ballard-Ballard Link Extension-Light Rail-planned,12997,22423,22423,35653,22423,23612,35902,-122.37628,47.66867,elevated,planned,,Ballard,Light Rail,Ballard Link Extension
Ballinger Way-Stride S3-Bus Rapid Transit-planned,462,611,1992,759,611,1465,2846,-122.27579,47.75381,at grade,planned,,Ballinger Way,Bus Rapid Transit,Stride S3
Beacon Hill-Red Line (Central Link)-Light Rail-existing,3158,4943,6465,6836,4943,5910,8644,-122.31164,47.57929,subway,existing,2009,Beacon Hill,Light Rail,Red Line (Central Link)
Bel-Red/130th-Blue Line (East Link)-Light Rail-uc,29,98,131,113,98,98,146,-122.16578,47.62447,at grade,uc,,Bel-Red/130th,Light Rail,Blue Line (East Link)
Bel-Red/24-RapidRide B-Bus Rapid Transit-existing,2324,3323,4061,4238,3323,3525,5142,-122.13309,47.63158,at grade,existing,2011,Bel-Red/24,Bus Rapid Transit,RapidRide B
Bell Street-RapidRide D-Bus Rapid Transit-existing,46739,49514,49514,59406,49514,49514,59406,-122.34479,47.6147,at grade,existing,2012,Bell Street,Bus Rapid Transit,RapidRide D
Bellevue Downtown-Blue Line (East Link)-Light Rail-uc,6312,17076,17208,31478,17076,17076,31610,-122.19202,47.61522,elevated,uc,,Bellevue Downtown,Light Rail,Blue Line (East Link)
Bellevue Transit Center-RapidRide B-Bus Rapid Transit-existing,11745,33857,34097,44016,33857,33858,44257,-122.19462,47.61551,at grade,existing,2011,Bellevue Transit Center,Bus Rapid Transit,RapidRide B
Boeing Commercial Airplane Group-RapidRide F-Bus Rapid Transit-existing,2,2,2,2,2,2,2,-122.23286,47.46219,at grade,existing,2014,Boeing Commercial Airplane Group,Bus Rapid Transit,RapidRide F
Bothell-Stride S3-Bus Rapid Transit-planned,1857,2576,3759,4631,2576,2576,5814,-122.19096,47.76757,at grade,planned,,Bothell,Bus Rapid Transit,Stride S3
Boylston Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,26654,48758,48758,80666,48758,48853,80666,-122.32176,47.61075,at grade,proposed,,Boylston Avenue,Bus Rapid Transit,Madison RapidRide G
Bradford/Yancy-RapidRide C-Bus Rapid Transit-existing,4096,7778,8459,13432,7933,8586,14329,-122.37081,47.5684,at grade,existing,2012,Bradford/Yancy,Bus Rapid Transit,RapidRide C
Brickyard-Stride S2-Bus Rapid Transit-planned,1991,5338,7310,8316,5338,6133,11070,-122.18709,47.74105,highway,planned,,Brickyard,Bus Rapid Transit,Stride S2
Broadway/Denny-Capitol Hill-First Hill Line-Streetcar-existing,32830,35765,35765,41550,35765,36054,41665,-122.32094,47.61805,at grade,existing,2016,Broadway/Denny-Capitol Hill,Streetcar,First Hill Line
Broadway/Marion-First Hill-First Hill Line-Streetcar-existing,964,15053,15053,29434,15053,15418,29434,-122.32081,47.60999,at grade,existing,2016,Broadway/Marion-First Hill,Streetcar,First Hill Line
Broadway/Pike/Pine-Capitol Hill-First Hill Line-Streetcar-existing,28951,60911,60911,97123,60911,63126,97310,-122.32081,47.61432,at grade,existing,2016,Broadway/Pike/Pine-Capitol Hill,Streetcar,First Hill Line
Broadway/Terrace-First Hill-First Hill Line-Streetcar-existing,23180,101055,101055,188681,101055,101808,188723,-122.32079,47.60517,at grade,existing,2016,Broadway/Terrace-First Hill,Streetcar,First Hill Line
Burien Transit Center-RapidRide F-Bus Rapid Transit-existing,655,5630,6588,9238,5630,6224,10354,-122.33709,47.47043,at grade,existing,2014,Burien Transit Center,Bus Rapid Transit,RapidRide F
California-RapidRide C-Bus Rapid Transit-existing,10065,12206,17086,15026,12206,12990,20158,-122.38678,47.56112,at grade,existing,2012,California,Bus Rapid Transit,RapidRide C
Canyon Park-Stride S2-Bus Rapid Transit-planned,1168,4079,5051,6141,4153,6982,10090,-122.21415,47.79479,highway,planned,,Canyon Park,Bus Rapid Transit,Stride S2
Canyon Park-Swift Green Line-Bus Rapid Transit-existing,188,1400,1702,1466,1400,1400,1768,-122.21365,47.7978,at grade,existing,2019,Canyon Park,Bus Rapid Transit,Swift Green Line
Capitol Hill-Red Line (University Link)-Light Rail-existing,26991,33085,33095,42665,33085,35591,43471,-122.32019,47.61908,subway,existing,2016,Capitol Hill,Light Rail,Red Line (University Link)
Casino Corner-Swift Blue Line-Bus Rapid Transit-existing,3283,32261,34106,33323,32261,33897,36728,-122.22809,47.92198,at grade,existing,2009,Casino Corner,Bus Rapid Transit,Swift Blue Line
Casino Road-Swift Green Line-Bus Rapid Transit-existing,0,0,0,0,0,0,0,-122.27173,47.92005,at grade,existing,2019,Casino Road,Bus Rapid Transit,Swift Green Line
Central Issaquah-South Kirkland-Issaquah Link-Light Rail-planned,93,93,161,93,93,93,161,-122.06318,47.54794,elevated,planned,,Central Issaquah,Light Rail,South Kirkland-Issaquah Link
Columbia City-Red Line (Central Link)-Light Rail-existing,3389,7268,8425,8395,7268,8390,10326,-122.29277,47.55984,at grade,existing,2009,Columbia City,Light Rail,Red Line (Central Link)
Columbia-RapidRide C-Bus Rapid Transit-existing,2903,49040,49040,98080,49040,49040,98080,-122.33275,47.60419,at grade,existing,2012,Columbia,Bus Rapid Transit,RapidRide C
