station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,mode,line
1 Avenue S-RapidRide F-Bus Rapid Transit-existing,2926,10576,10585,18810,10576,17228,18881,-122.33392,47.46327,at grade,existing,2014,1 Avenue S,Bus Rapid Transit,RapidRide F
100th Street-Swift Blue Line-Bus Rapid Transit-existing,1918,17135,18304,23934,17135,19887,27312,-122.24164,47.90734,at grade,existing,2009,100th Street,Bus Rapid Transit,Swift Blue Line
100th Street-Swift Green Line-Bus Rapid Transit-existing,44,72,120,72,72,81,129,-122.27113,47.90745,at grade,existing,2019,100th Street,Bus Rapid Transit,Swift Green Line
103 Avenue-RapidRide I-Arterial Rapid Transit-planned,2133,2653,3384,3969,2653,3341,5304,-122.20367,47.44288,at grade,planned,,103 Avenue,Arterial Rapid Transit,RapidRide I
104 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1023,5595,5595,9651,7734,11804,16768,-122.43416,47.16282,at grade,planned,,104 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
108 Avenue-RapidRide I-Arterial Rapid Transit-planned,4042,4509,5378,5171,4509,5053,6519,-122.19762,47.44528,at grade,planned,,108 Avenue,Arterial Rapid Transit,RapidRide I
110 Avenue-Stride S3-Bus Rapid Transit-planned,995,4155,6032,7511,4155,4155,9388,-122.19301,47.76428,at grade,planned,,110 Avenue,Bus Rapid Transit,Stride S3
112 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,961,6679,6679,9609,6679,9679,12479,-122.43426,47.1555,at grade,planned,,112 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
112th Street-Swift Blue Line-Bus Rapid Transit-existing,6062,15933,17029,24134,15933,22510,30542,-122.2518,47.89643,at grade,existing,2009,112th Street,Bus Rapid Transit,Swift Blue Line
112th Street-Swift Green Line-Bus Rapid Transit-existing,668,15626,16157,21131,15626,19700,24293,-122.26313,47.89653,at grade,existing,2019,112th Street,Bus Rapid Transit,Swift Green Line
116/118-RapidRide B-Bus Rapid Transit-existing,0,154,154,154,154,458,458,-122.18463,47.61731,at grade,existing,2011,116/118,Bus Rapid Transit,RapidRide B
120-RapidRide B-Bus Rapid Transit-existing,1263,2296,2296,3964,2296,2701,4341,-122.18031,47.61729,at grade,existing,2011,120,Bus Rapid Transit,RapidRide B
124-RapidRide B-Bus Rapid Transit-existing,3094,9440,10903,12880,9440,11419,16302,-122.17496,47.61733,at grade,existing,2011,124,Bus Rapid Transit,RapidRide B
12th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,15633,33161,33161,54299,33161,35455,54750,-122.31677,47.61284,at grade,proposed,,12th Avenue,Bus Rapid Transit,Madison RapidRide G
12th/Jackson-Little Saigon-First Hill Line-Streetcar-existing,648,4660,4660,9231,4660,4719,9242,-122.31587,47.5992,at grade,existing,2016,12th/Jackson-Little Saigon,Streetcar,First Hill Line
130th Street-Red Line (Lynnwood Link)-Light Rail-uc,1626,1969,4091,1969,1969,2094,4216,-122.32392,47.72313,highway,uc,,130th Street,Light Rail,Red Line (Lynnwood Link)
131/134-RapidRide B-Bus Rapid Transit-existing,733,733,2560,733,733,790,2617,-122.16364,47.61722,at grade,existing,2011,131/134,Bus Rapid Transit,RapidRide B
136th Street-Swift Green Line-Bus Rapid Transit-existing,1678,2058,2773,2238,2058,3099,3814,-122.21486,47.87431,at grade,existing,2019,136th Street,Bus Rapid Transit,Swift Green Line
138 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1438,4350,4350,7088,4350,10824,12826,-122.43463,47.13152,at grade,planned,,138 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
140-RapidRide B-Bus Rapid Transit-existing,4554,4882,5977,4930,4882,6353,7448,-122.15358,47.61716,at grade,existing,2011,140,Bus Rapid Transit,RapidRide B
143-RapidRide B-Bus Rapid Transit-existing,1390,1402,3249,1402,1402,2804,4651,-122.14958,47.61712,at grade,existing,2011,143,Bus Rapid Transit,RapidRide B
146 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,905,5548,5548,10436,5548,9156,13815,-122.43468,47.12423,at grade,planned,,146 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
148-RapidRide B-Bus Rapid Transit-existing,2875,2881,5702,2901,2881,3919,6740,-122.14308,47.61704,at grade,existing,2011,148,Bus Rapid Transit,RapidRide B
148th Street-Swift Blue Line-Bus Rapid Transit-existing,1134,3051,3851,3733,3051,8685,9524,-122.28195,47.86423,at grade,existing,2009,148th Street,Bus Rapid Transit,Swift Blue Line
14th/Washington-Central District-First Hill Line-Streetcar-existing,6557,18683,19124,28567,18683,21528,30743,-122.31417,47.60067,at grade,existing,2016,14th/Washington-Central District,Streetcar,First Hill Line
15 Avenue-Stride S3-Bus Rapid Transit-planned,2187,5226,7017,8806,5226,5632,10920,-122.31281,47.73392,at grade,planned,,15 Avenue,Bus Rapid Transit,Stride S3
15 Street-RapidRide I-Arterial Rapid Transit-planned,896,2910,4217,4847,3307,3220,6791,-122.22148,47.32089,at grade,planned,,15 Street,Arterial Rapid Transit,RapidRide I
152-RapidRide B-Bus Rapid Transit-existing,0,6768,6768,6768,6768,6768,6768,-122.1375,47.64599,at grade,existing,2011,152,Bus Rapid Transit,RapidRide B
153rd Street-Swift Green Line-Bus Rapid Transit-existing,580,1387,1703,1656,1387,3097,3413,-122.219,47.85922,at grade,existing,2019,153rd Street,Bus Rapid Transit,Swift Green Line
154-RapidRide B-Bus Rapid Transit-existing,1,1049,1049,1329,1049,1049,1329,-122.13459,47.68223,at grade,existing,2011,154,Bus Rapid Transit,RapidRide B
155 Street-Stride S3-Bus Rapid Transit-planned,1796,2358,5055,3226,2358,2634,6078,-122.28835,47.74107,at grade,planned,,155 Street,Bus Rapid Transit,Stride S3
159 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,794,3424,3424,5366,3424,6877,8277,-122.43478,47.11242,at grade,planned,,159 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
164th Street-Swift Green Line-Bus Rapid Transit-existing,533,1201,1216,1933,1201,3002,3017,-122.2175,47.84952,at grade,existing,2019,164th Street,Bus Rapid Transit,Swift Green Line
165 Street-Stride S3-Bus Rapid Transit-planned,854,861,3394,873,861,913,3446,-122.28483,47.74827,at grade,planned,,165 Street,Bus Rapid Transit,Stride S3
168 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1089,5365,5365,8886,5365,10629,13193,-122.43486,47.10451,at grade,planned,,168 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
16th Avenue-RapidRide H-Bus Rapid Transit-proposed,2743,5632,6799,8515,5632,7233,10524,-122.35504,47.51735,at grade,proposed,,16th Avenue,Bus Rapid Transit,RapidRide H
176 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,904,4700,4700,6516,4700,8753,9959,-122.43492,47.09731,at grade,planned,,176 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
176th Street-Swift Blue Line-Bus Rapid Transit-existing,1478,1985,4190,2553,1985,4318,6523,-122.29957,47.8392,at grade,existing,2009,176th Street,Bus Rapid Transit,Swift Blue Line
17th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,18891,32782,33051,48501,32782,35166,49686,-122.31015,47.61561,at grade,proposed,,17th Avenue,Bus Rapid Transit,Madison RapidRide G
180 Street-Stride S3-Bus Rapid Transit-planned,2447,5625,6677,9115,5625,5625,10167,-122.21092,47.75824,at grade,planned,,180 Street,Bus Rapid Transit,Stride S3
180th Street-Swift Green Line-Bus Rapid Transit-existing,607,2067,3084,3568,2067,4934,6571,-122.21074,47.83465,at grade,existing,2019,180th Street,Bus Rapid Transit,Swift Green Line
182 Street-RapidRide I-Arterial Rapid Transit-planned,985,989,3392,989,989,989,3392,-122.19695,47.43988,at grade,planned,,182 Street,Arterial Rapid Transit,RapidRide I
184 Street South-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,285,1761,1761,2956,1761,4000,5170,-122.43499,47.08997,at grade,planned,,184 Street South,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
186 Street-RapidRide I-Arterial Rapid Transit-planned,1423,1468,3975,1525,1468,1534,4041,-122.19704,47.43651,at grade,planned,,186 Street,Arterial Rapid Transit,RapidRide I
192 Street-RapidRide I-Arterial Rapid Transit-planned,1273,5894,7589,10575,5894,7194,12969,-122.19704,47.43029,at grade,planned,,192 Street,Arterial Rapid Transit,RapidRide I
196 Street-Swift Orange Line-Arterial Rapid Transit-uc,827,1249,2665,1261,1385,2365,3917,-122.31536,47.82118,at grade,uc,,196 Street,Arterial Rapid Transit,Swift Orange Line
196th Street-Swift Green Line-Bus Rapid Transit-existing,867,3046,3522,4016,3046,6327,7592,-122.20745,47.82027,at grade,existing,2019,196th Street,Bus Rapid Transit,Swift Green Line
1st & Cherry-Columbia/Pioneer Square-Center City Connector-Streetcar-proposed,9063,14947,14947,20874,14947,14947,20874,-122.3345,47.60283,at grade,proposed,,1st & Cherry-Columbia/Pioneer Square,Streetcar,Center City Connector
1st & Madison/Spring-Center City Connector-Streetcar-proposed,17705,23498,23498,30492,23498,23498,30492,-122.33655,47.60504,at grade,proposed,,1st & Madison/Spring,Streetcar,Center City Connector
1st & Pike/Pine-Center City Connector-Streetcar-proposed,60376,70953,70953,93254,70953,70953,93254,-122.34046,47.60931,at grade,proposed,,1st & Pike/Pine,Streetcar,Center City Connector
2 Avenue S-RapidRide F-Bus Rapid Transit-existing,4007,4500,4824,4792,4500,5240,5688,-122.33039,47.46328,at grade,existing,2014,2 Avenue S,Bus Rapid Transit,RapidRide F
200 Street-RapidRide I-Arterial Rapid Transit-planned,1158,1245,3082,1393,1245,1935,3772,-122.19706,47.42314,at grade,planned,,200 Street,Arterial Rapid Transit,RapidRide I
204th Street-Swift Blue Line-Bus Rapid Transit-existing,1401,1596,2340,2017,1596,2667,3620,-122.32108,47.81402,at grade,existing,2009,204th Street,Bus Rapid Transit,Swift Blue Line
208 Street-RapidRide I-Arterial Rapid Transit-planned,1791,2970,4505,4622,2970,5273,7308,-122.19706,47.41583,at grade,planned,,208 Street,Arterial Rapid Transit,RapidRide I
208th Street-Swift Green Line-Bus Rapid Transit-existing,3218,8525,9254,11177,8525,8525,11906,-122.20777,47.80943,at grade,existing,2019,208th Street,Bus Rapid Transit,Swift Green Line
20th Avenue-RapidRide H-Bus Rapid Transit-proposed,1898,3646,4519,6036,3646,7687,9991,-122.35921,47.51735,at grade,proposed,,20th Avenue,Bus Rapid Transit,RapidRide H
216 Street-RapidRide I-Arterial Rapid Transit-planned,1390,1438,4623,1438,1438,1438,4623,-122.19709,47.40823,at grade,planned,,216 Street,Arterial Rapid Transit,RapidRide I
216th Street-Swift Blue Line-Bus Rapid Transit-existing,792,7918,8313,9677,9674,8797,12707,-122.32919,47.80319,at grade,existing,2009,216th Street,Bus Rapid Transit,Swift Blue Line
22 Street-RapidRide I-Arterial Rapid Transit-planned,1204,3347,3625,5722,6435,3953,9427,-122.22153,47.32646,at grade,planned,,22 Street,Arterial Rapid Transit,RapidRide I
220th Street-Red Line (Lynnwood Link)-Light Rail-uc,897,14756,14943,21531,14756,19546,25200,-122.31634,47.79898,highway,uc,,220th Street,Light Rail,Red Line (Lynnwood Link)
224 Street-RapidRide I-Arterial Rapid Transit-planned,2455,2487,4716,2703,2487,2537,4932,-122.19934,47.40143,at grade,planned,,224 Street,Arterial Rapid Transit,RapidRide I
228 Street-RapidRide I-Arterial Rapid Transit-planned,1277,1335,4332,1335,1335,1335,4332,-122.20226,47.39738,at grade,planned,,228 Street,Arterial Rapid Transit,RapidRide I
